Parcel ID,Address,crime_risk_level,crime_context_summary,crime_data_granularity,crime_source_title,crime_source_url,crime_data_confidence
40825-02-13-08310,4337 N GARRISON AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
24675-03-31-13270,1404 N ST LOUIS AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
41025-02-01-04710,5901 N GARRISON PL E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
41025-02-01-05430,522 E 59 ST N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
17675-02-24-07570,750 E 32 PL N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
25500-03-29-06060,2625 E TECUMSEH ST N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
43300-03-29-09940,2311 N ATLANTA AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
56925-92-20-02770,3930 S 61 AV W,Unknown,"South Tulsa / county-edge property, only broad area-level context available in this pass.",ZIP-Level,City of Tulsa public safety resources,https://www.cityoftulsa.org/,Low
44200-02-11-03380,4627 N BOSTON AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
05850-03-30-04070,1844 N TRENTON AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
25375-03-29-05240,3215 E XYLER ST N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
90306-03-06-24020,1641 E 56 ST N TULSA,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
44250-02-12-15190,549 E 54 PL N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
13850-93-05-10570,2621 E ADMIRAL CT N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
40850-02-12-07900,517 E 47 PL N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
46465-92-11-31880,2034 S PHOENIX AV W,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
40250-03-31-15190,2143 E NEWTON ST N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
44675-92-08-04450,5128 W CHARLES PAGE,Unknown,"South Tulsa / county-edge property, only broad area-level context available in this pass.",ZIP-Level,City of Tulsa public safety resources,https://www.cityoftulsa.org/,Low
29625-02-36-21010,419 E NEWTON PL N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
10450-03-19-50550,3128 N TROOST PL E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
96203-62-03-50220,18911 S 29 AV W,Unknown,"South Tulsa / county-edge property, only broad area-level context available in this pass.",ZIP-Level,City of Tulsa public safety resources,https://www.cityoftulsa.org/,Low
