Parcel ID,Address,ai_final_score,ai_final_category,ai_bid_priority,ai_summary,ai_key_risks,ai_due_diligence_next_step,ai_confidence
40250-03-31-14910,1945 E NEWTON ST N,65,Watchlist,Priority 3,"Parcel 40250-03-31-14910 at 1945 E NEWTON ST N has opening bid 1613.17, max bid 10000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
40875-02-13-11530,210 E 44 ST N,65,Watchlist,Priority 3,"Parcel 40875-02-13-11530 at 210 E 44 ST N has opening bid 1184.93, max bid 10000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
53775-02-02-00220,6105 N MAIN ST E TULSA,57,Watchlist,Priority 3,"Parcel 53775-02-02-00220 at 6105 N MAIN ST E TULSA has opening bid 3140.32, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
26725-02-25-16640,515 E UTE ST N,65,Watchlist,Priority 3,"Parcel 26725-02-25-16640 at 515 E UTE ST N has opening bid 1216.55, max bid 7500.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
23125-02-25-15350,1864 N OWASSO AV E,55,Watchlist,Priority 3,"Parcel 23125-02-25-15350 at 1864 N OWASSO AV E has opening bid 3140.35, max bid 15000.0, grade C, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
07600-02-24-01200,820 E 36 ST N,50,High Risk,Do Not Bid,"Parcel 07600-02-24-01200 at 820 E 36 ST N has opening bid 3152.35, max bid nan, grade nan, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown, blank max bid","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
05400-02-25-04330,524 E YOUNG ST N,65,Watchlist,Priority 3,"Parcel 05400-02-25-04330 at 524 E YOUNG ST N has opening bid 1418.58, max bid 6500.0, grade nan, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
44200-02-14-06630,18 E 44 PL N,57,Watchlist,Priority 3,"Parcel 44200-02-14-06630 at 18 E 44 PL N has opening bid 3183.01, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
53825-02-02-01690,6369 N BOULDER AV W,63,Watchlist,Priority 3,"Parcel 53825-02-02-01690 at 6369 N BOULDER AV W has opening bid 1693.83, max bid 15000.0, grade A, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
07675-02-13-01140,4018 N GARRISON AV E,57,Watchlist,Priority 3,"Parcel 07675-02-13-01140 at 4018 N GARRISON AV E has opening bid 3245.67, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
90212-02-12-26700,1118 E 50 PL N,63,Watchlist,Priority 3,"Parcel 90212-02-12-26700 at 1118 E 50 PL N has opening bid 1317.38, max bid 12000.0, grade A, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
40825-02-13-08310,4337 N GARRISON AV E,65,Watchlist,Priority 3,"Parcel 40825-02-13-08310 at 4337 N GARRISON AV E has opening bid 1697.16, max bid 8000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
24675-03-31-13270,1404 N ST LOUIS AV E,65,Watchlist,Priority 3,"Parcel 24675-03-31-13270 at 1404 N ST LOUIS AV E has opening bid 1697.83, max bid 10000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
41025-02-01-04710,5901 N GARRISON PL E,65,Watchlist,Priority 3,"Parcel 41025-02-01-04710 at 5901 N GARRISON PL E has opening bid 1273.2, max bid 8000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
41025-02-01-05430,522 E 59 ST N,65,Watchlist,Priority 3,"Parcel 41025-02-01-05430 at 522 E 59 ST N has opening bid 1273.2, max bid 6000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
17675-02-24-07570,750 E 32 PL N,57,Watchlist,Priority 3,"Parcel 17675-02-24-07570 at 750 E 32 PL N has opening bid 3310.33, max bid 12000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
25500-03-29-06060,2625 E TECUMSEH ST N,57,Watchlist,Priority 3,"Parcel 25500-03-29-06060 at 2625 E TECUMSEH ST N has opening bid 3310.33, max bid 12000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
43300-03-29-09940,2311 N ATLANTA AV E,65,Watchlist,Priority 3,"Parcel 43300-03-29-09940 at 2311 N ATLANTA AV E has opening bid 1179.88, max bid 8000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
56925-92-20-02770,3930 S 61 AV W,71,Strong Candidate,Priority 2,"Parcel 56925-92-20-02770 at 3930 S 61 AV W has opening bid 1716.68, max bid 14000.0, grade B, color Purple, crime risk Unknown, and economic signal Unknown.","crime context Unknown, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
44200-02-11-03380,4627 N BOSTON AV E,57,Watchlist,Priority 3,"Parcel 44200-02-11-03380 at 4627 N BOSTON AV E has opening bid 3311.0, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
05850-03-30-04070,1844 N TRENTON AV E,65,Watchlist,Priority 3,"Parcel 05850-03-30-04070 at 1844 N TRENTON AV E has opening bid 1297.53, max bid 12000.0, grade A, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
25375-03-29-05240,3215 E XYLER ST N,57,Watchlist,Priority 3,"Parcel 25375-03-29-05240 at 3215 E XYLER ST N has opening bid 3313.8, max bid 9000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
90306-03-06-24020,1641 E 56 ST N TULSA,55,Watchlist,Priority 3,"Parcel 90306-03-06-24020 at 1641 E 56 ST N TULSA has opening bid 3314.33, max bid 15000.0, grade A, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
44250-02-12-15190,549 E 54 PL N,57,Watchlist,Priority 3,"Parcel 44250-02-12-15190 at 549 E 54 PL N has opening bid 3327.0, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
13850-93-05-10570,2621 E ADMIRAL CT N,66,Watchlist,Priority 3,"Parcel 13850-93-05-10570 at 2621 E ADMIRAL CT N has opening bid 1759.82, max bid 8000.0, grade C, color Blue, crime risk Medium, and economic signal Positive.",crime context Medium,"Verify title, liens, occupancy, and auction-order assumptions before bidding.",Medium
40850-02-12-07900,517 E 47 PL N,65,Watchlist,Priority 3,"Parcel 40850-02-12-07900 at 517 E 47 PL N has opening bid 1771.82, max bid 9000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
46465-92-11-31880,2034 S PHOENIX AV W,57,Watchlist,Priority 3,"Parcel 46465-92-11-31880 at 2034 S PHOENIX AV W has opening bid 3329.0, max bid 6000.0, grade nan, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
40250-03-31-15190,2143 E NEWTON ST N,65,Watchlist,Priority 3,"Parcel 40250-03-31-15190 at 2143 E NEWTON ST N has opening bid 1778.61, max bid 6000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
44675-92-08-04450,5128 W CHARLES PAGE,73,Strong Candidate,Priority 2,"Parcel 44675-92-08-04450 at 5128 W CHARLES PAGE has opening bid 1783.15, max bid 7000.0, grade nan, color Green, crime risk Unknown, and economic signal Neutral.",crime context Unknown,"Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
29625-02-36-21010,419 E NEWTON PL N,55,Watchlist,Priority 3,"Parcel 29625-02-36-21010 at 419 E NEWTON PL N has opening bid 3388.99, max bid 15000.0, grade B, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
10450-03-19-50550,3128 N TROOST PL E,55,Watchlist,Priority 3,"Parcel 10450-03-19-50550 at 3128 N TROOST PL E has opening bid 3389.11, max bid 17000.0, grade C, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
96203-62-03-50220,18911 S 29 AV W,65,Watchlist,Priority 3,"Parcel 96203-62-03-50220 at 18911 S 29 AV W has opening bid 1064.76, max bid 4000.0, grade C, color Blue, crime risk Unknown, and economic signal Unknown.","crime context Unknown, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
