parcel_id,property_address,city,state,zip_code,legal_description,bid_cost,previous_investment_category,previous_development_match_strength,previous_development_match_quality,final_development_match_strength,final_matched_development_area,final_matched_project_or_area_name,final_matched_project_type,final_matched_investment_signal_strength,final_development_source_title,final_development_source_url,final_development_summary,final_development_corridor,final_development_relevant_streets,final_development_match_reason,final_development_match_quality,final_development_warning,final_development_confidence,final_match_basis,final_development_geocode_query,weak_match_removed_flag
37650-02-12-04530,868 E 52 PL N,Tulsa,OK,Unknown,LOT-5-BLK-5,3271.21,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
38575-03-28-12560,2443 N VANDALIA AV E,Tulsa,OK,Unknown,LOT 7 BLK 9,3480.31,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
40850-02-12-06130,641 E 50 ST N,Tulsa,OK,Unknown,LT 4 BLK 2,3005.03,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
34300-03-32-15230,135 N COLUMBIA AV E,Tulsa,OK,Unknown,LT 24 BLK 4,3005.69,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
29675-03-07-09890,2017 E 49 ST N,Tulsa,OK,Unknown,LT 11 BLK 25,3010.1,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
41025-02-01-06220,5914 N ELGIN AV E,Tulsa,OK,Unknown,LT 2 BLK 16,3015.03,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
34300-03-32-14790,124 N DELAWARE AV E,Tulsa,OK,Unknown,LT 10 BLK 3,3029.62,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
29775-02-26-04910,2220 N DENVER BV W,Tulsa,OK,Unknown,LT 21 BLK 8,3047.69,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
41025-02-01-04500,537 E 59 PL N,Tulsa,OK,Unknown,LT 11 BLK 4,3047.69,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
26725-02-25-17680,412 E UTE ST N,Tulsa,OK,Unknown,LOT-3-BLK-6,3047.69,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44200-02-11-04390,4696 N BOULDER AV W,Tulsa,OK,Unknown,LT 2 BLK 18,3075.02,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
47700-02-26-09610,2525 N MAIN ST E,Tulsa,OK,Unknown,LT-9-BLK-3,3082.54,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
36090-03-08-00970,4721 N BIRMINGHAM PL E,Tulsa,OK,Unknown,LT 4 BK 5,3087.69,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
34750-02-26-08160,2507 N MAIN ST E,Tulsa,OK,Unknown,PRT LTS 9 & 10 BEG SWC LT 9 TH NLY65 ELY TO SECR,3097.02,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
19725-03-30-11560,1743 E YOUNG PL N,Tulsa,OK,Unknown,LT 9 BLK 1,3098.35,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
78810-84-11-09860,514 E DALLAS ST S,Broken Arrow,OK,Unknown,LTS 10 & 11 BLK 25,3103.2,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
23175-03-30-13610,2526 N QUAKER AV E,Tulsa,OK,Unknown,LT 6 BLK 4,3115.02,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
90327-03-27-26880,2011 N YALE AV E,Tulsa,OK,Unknown,BG 46.95N SWC NW NW SW TH E111.25 NELY205.31,3120.35,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
25500-03-29-06000,1831 N BIRMINGHAM PL E,Tulsa,OK,Unknown,N.1/2 OF LT 3 BLK 4,3123.68,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
53775-02-02-00220,6105 N MAIN ST E,Tulsa,OK,Unknown,LT 22 BK 1,3140.32,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
23125-02-25-15350,1864 N OWASSO AV E,Tulsa,OK,Unknown,LT 5 BLK 7,3140.35,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
40800-02-13-04700,4309 N KENOSHA AV E,Tulsa,OK,Unknown,LT 22 BK 1,3142.35,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
07600-02-24-01200,820 E 36 ST N,Tulsa,OK,Unknown,LTS 1 & 2 BLK 3,3152.35,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44200-02-11-01790,137 W 50 PL N,Tulsa,OK,Unknown,LT 17 BLK 8,3153.01,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
16050-93-06-08050,1810 E 2 ST S,Tulsa,OK,Unknown,E.60' OF LT 19 BLK 12,3179.68,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
09725-03-30-08040,2043 E XYLER ST N,Tulsa,OK,Unknown,LT 15 BLK 4,3183.01,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44200-02-14-06630,18 E 44 PL N,Tulsa,OK,Unknown,LOT-2-BLK-29,3183.01,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44250-02-12-14920,5531 N FRANKFORT PL E,Tulsa,OK,Unknown,LT 15 BLK 53,3183.64,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44200-02-11-03530,4697 N BOSTON AV E,Tulsa,OK,Unknown,LT 42 BLK 15,3193.01,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44225-02-12-09330,711 E 51 PL N,Tulsa,OK,Unknown,LT 12 BLK 34,3199.68,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
07725-02-13-02930,918 E 37 ST N,Tulsa,OK,Unknown,LT 4 BLK 11,3234.47,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
79200-84-14-04250,215 W JACKSON ST S,Broken Arrow,OK,Unknown,LT 5 BLK 12,3244.88,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
07675-02-13-01140,4018 N GARRISON AV E,Tulsa,OK,Unknown,LT 1 BLK 5,3245.67,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
49650-03-34-13420,4932 E HASKELL ST N,Tulsa,OK,Unknown,LT 4 BLK 3,3249.0,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
41025-02-01-06510,5744 N FRANKFORT AV E,Tulsa,OK,Unknown,LT 13 BLK 18,3259.67,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
15500-03-32-04800,1313 N DELAWARE AV E,Tulsa,OK,Unknown,LT 4 BLK 7,3267.45,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
05825-03-30-01260,2039 N QUAKER AV E,Tulsa,OK,Unknown,LT 1 LESS N 5 FOR ST BLK 2,3268.33,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
49700-03-34-14030,5107 E HASKELL PL N,Tulsa,OK,Unknown,LT 10 BLK 1,3272.62,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
32325-92-24-04910,1114 E 33 PL S,Tulsa,OK,Unknown,E1/2 OF LT 6 BK 2,3277.02,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44200-02-11-01060,34 W 50 ST N,Tulsa,OK,Unknown,LT 16 BLK 5,3286.33,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
17675-02-24-07570,750 E 32 PL N,Tulsa,OK,Unknown,LT 36 BLK 4,3310.33,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
25500-03-29-06060,2625 E TECUMSEH ST N,Tulsa,OK,Unknown,W.84 OF LT 1 BLK 5,3310.33,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44200-02-11-03380,4627 N BOSTON AV E,Tulsa,OK,Unknown,LT 27 BLK 15,3311.0,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
24275-93-06-15110,1435 E ADMIRAL BV N,Tulsa,OK,Unknown,LT 20 BLK 6,3321.66,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
44250-02-12-15190,549 E 54 PL N,Tulsa,OK,Unknown,LT 17 BLK 54,3327.0,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
53825-02-02-01310,7 E 63 ST N,Tulsa,OK,Unknown,LT 16 BK 4,3327.66,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
29650-03-07-03460,1338 E 54 ST N,Tulsa,OK,Unknown,LT 13 BLK 2,3327.66,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
46465-92-11-31880,2034 S PHOENIX AV W,Tulsa,OK,Unknown,LT 30 BLK 1,3329.0,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
24200-03-28-04080,1803 N INDIANAPOLIS AV,Unknown,OK,Unknown,LT 13 BLK 12 E,3365.01,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
12175-92-03-02290,3034 W CAMERON ST N,Tulsa,OK,Unknown,LT 1 BLK 11,3366.33,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
07675-02-13-01590,4013 N ELGIN AV E,Tulsa,OK,Unknown,PT LT 12 BLK 6 BEG SWC LT 12 NE159.80 NW61.30,3368.32,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
04550-03-32-02430,813 N FLORENCE AV E,Tulsa,OK,Unknown,LT 4 BLK 1,3368.99,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
26250-92-05-02570,4914 W 1 ST S,Tulsa,OK,Unknown,LT-3-BLK-2,3382.32,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
