#,Color,Source,Original Rank,Parcel ID,Address,Opening Bid,Max Bid,Bid Spread,Drive-By Status,Lien/Title Risk,Entitlement/Zoning Risk,Final Decision,Notes
18,Green,"$1,500–$2,000",31,24675-03-31-13270,1404 N ST LOUIS AV E,1697.83,,,Not Checked,Not Checked,Not Checked,Research,
19,Purple,"$1,500–$2,000",36,56925-92-20-02770,3930 S 61 AV W,1716.68,,,Not Checked,Not Checked,Not Checked,Research,
20,Blue,"$1,500–$2,000",41,13850-93-05-10570,2621 E ADMIRAL CT N,1759.82,,,Not Checked,Not Checked,Not Checked,Research,
21,Green,"$1,500–$2,000",43,40850-02-12-07900,517 E 47 PL N,1771.82,,,Not Checked,Not Checked,Not Checked,Research,
22,Green,"$1,500–$2,000",44,40250-03-31-15190,2143 E NEWTON ST N,1778.61,,,Not Checked,Not Checked,Not Checked,Research,
23,Green,"$1,500–$2,000",46,44675-92-08-04450,5128 W CHARLES PAGE,1783.15,,,Not Checked,Not Checked,Not Checked,Research,
24,Green,Manual Review,2,34300-03-32-15230,135 N COLUMBIA AV E,3005.69,,,Not Checked,Not Checked,Not Checked,Research,
25,Green,Manual Review,8,44200-02-11-04390,4696 N BOULDER AV W,3075.02,,,Not Checked,Not Checked,Not Checked,Research,
26,Green,Manual Review,9,34750-02-26-08160,2507 N MAIN ST E TULSA,3097.02,,,Not Checked,Not Checked,Not Checked,Research,
27,Green,Manual Review,11,23175-03-30-13610,2526 N QUAKER AV E,3115.02,,,Not Checked,Not Checked,Not Checked,Research,
28,Green,Manual Review,15,53775-02-02-00220,6105 N MAIN ST E TULSA,3140.32,,,Not Checked,Not Checked,Not Checked,Research,
29,Purple,Manual Review,16,23125-02-25-15350,1864 N OWASSO AV E,3140.35,,,Not Checked,Not Checked,Not Checked,Research,
30,Green,Manual Review,17,07600-02-24-01200,820 E 36 ST N,3152.35,,,Not Checked,Not Checked,Not Checked,Research,
31,Green,Manual Review,21,44200-02-14-06630,18 E 44 PL N,3183.01,,,Not Checked,Not Checked,Not Checked,Research,
32,Green,Manual Review,26,07675-02-13-01140,4018 N GARRISON AV E,3245.67,,,Not Checked,Not Checked,Not Checked,Research,
33,Green,Manual Review,34,17675-02-24-07570,750 E 32 PL N,3310.33,,,Not Checked,Not Checked,Not Checked,Research,
34,Green,Manual Review,35,25500-03-29-06060,2625 E TECUMSEH ST N,3310.33,,,Not Checked,Not Checked,Not Checked,Research,
35,Green,Manual Review,36,44200-02-11-03380,4627 N BOSTON AV E,3311.0,,,Not Checked,Not Checked,Not Checked,Research,
36,Green,Manual Review,38,25375-03-29-05240,3215 E XYLER ST N,3313.8,,,Not Checked,Not Checked,Not Checked,Research,
37,Purple,Manual Review,39,90306-03-06-24020,1641 E 56 ST N,3314.33,,,Not Checked,Not Checked,Not Checked,Research,
38,Green,Manual Review,40,44250-02-12-15190,549 E 54 PL N,3327.0,,,Not Checked,Not Checked,Not Checked,Research,
39,Green,Manual Review,43,46465-92-11-31880,2034 S PHOENIX AV W,3329.0,,,Not Checked,Not Checked,Not Checked,Research,
40,Purple,Manual Review,48,29625-02-36-21010,419 E NEWTON PL N,3388.99,,,Not Checked,Not Checked,Not Checked,Research,
41,Purple,Manual Review,49,10450-03-19-50550,3128 N TROOST PL E,3389.11,,,Not Checked,Not Checked,Not Checked,Research,
42,Green,Manual Review,1,00575-93-06-01170,511 S VICTOR AV E,3910.27,,,Not Checked,Not Checked,Not Checked,Research,
