final_rank,parcel_id,owner_name,property_address,city,state,zip_code,confirmed_zip_code,bid_cost,legal_description,property_type,geocode_status,geocode_confidence,neighborhood_or_area,crime_risk_level,crime_risk_score,crime_confidence,crime_source,crime_data_date_range,median_household_income,poverty_rate,unemployment_rate,median_home_value,median_gross_rent,vacancy_rate,owner_occupied_rate,economic_risk_level,economic_strength_score,economic_confidence,economic_source,property_clarity_score,residential_likelihood_score,pre_ai_final_score,ai_area_adjusted_score,final_score,final_category,recommendation,reasoning_summary,crime_economic_summary,key_risks,missing_information,next_due_diligence_step,confidence_level,raw_text
11,40925-92-26-01220,Unknown,4744 S TACOMA AV W,Tulsa,OK,Unknown,74107,1458.03,LOT 7 BLK 3,R HS IMP,Geocoded,High,Tulsa Census Tract 4900,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,43750.0,0.2723,0.1164,109600.0,928.0,0.1143,0.5806,Medium,6.08,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,9.0,7.01,7.01,5.76,Risky / Needs Verification,Drive By,Bid cost 1458.03 for parcel 40925-92-26-01220 at 4744 S TACOMA AV W stays in Manual Review Candidate because crime risk is High and median household income 43750.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"752 40925-92-26-01220 4744 S TACOMA AV W 17,600 R HS IMP 1,458.03 332.25 | LOT 7 BLK 3 CITY OF TULSA | SUBURBAN HIGHLANDS"
12,24925-02-36-17470,Unknown,1062 N NORFOLK AV E,Tulsa,OK,Unknown,74106,1497.18,LT 6 BLK 3,R IMP,Geocoded,High,Tulsa Census Tract 1200,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,60379.0,0.176,0.0633,86400.0,964.0,0.2185,0.5092,Medium,6.5,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,8.5,7.01,7.01,5.76,Risky / Needs Verification,Drive By,Bid cost 1497.18 for parcel 24925-02-36-17470 at 1062 N NORFOLK AV E stays in Manual Review Candidate because crime risk is High and median household income 60379.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"385 24925-02-36-17470 1062 N NORFOLK AV E 5,000 R IMP 1,497.18 348.00 | LT 6 BLK 3 CITY OF TULSA | MANN'S ADDN"
13,40875-02-13-11530,Unknown,210 E 44 ST N,Tulsa,OK,Unknown,74106,1184.93,LOT 18 BLK 6,R HS IMP,Geocoded,High,Tulsa Census Tract 8002,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,38750.0,0.2597,0.0733,76300.0,1129.0,0.167,0.6033,Medium,5.5,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,9.0,6.98,6.98,5.73,Risky / Needs Verification,Drive By,Bid cost 1184.93 for parcel 40875-02-13-11530 at 210 E 44 ST N stays in Manual Review Candidate because crime risk is High and median household income 38750.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"751 40875-02-13-11530 210 E 44 ST N 7,200 R HS IMP 1,184.93 316.50 | LOT 18 BLK 6 CITY OF TULSA | SUBURBAN ACRES FOURTH ADDN"
14,37225-93-16-14530,Unknown,4021 E 28 ST S,Tulsa,OK,Unknown,74114,1437.18,LOT 1 BLK 2,R,Geocoded,High,Tulsa Census Tract 3900,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,75078.0,0.0701,0.0695,183200.0,1191.0,0.1515,0.4981,Low,7.5,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,6.5,6.92,6.92,5.67,Risky / Needs Verification,Drive By,Bid cost 1437.18 for parcel 37225-93-16-14530 at 4021 E 28 ST S stays in Manual Review Candidate because crime risk is High and median household income 75078.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Low with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"637 37225-93-16-14530 4021 E 28 ST S 9,289 R 1,437.18 318.00 | LOT 1 BLK 2 CITY OF TULSA | SANTA MONICA ADDN RESUB PRT B2-3 EXPOSITION"
15,25800-03-32-09470,Unknown,1434 N EVANSTON AV E,Tulsa,OK,Unknown,74110,1026.56,LT 7 BLK 4,R IMP,Geocoded,High,Tulsa Census Tract 1400,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,44820.0,0.2764,0.1213,74000.0,959.0,0.1315,0.5476,Medium,5.25,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,8.5,6.9,6.9,5.65,Risky / Needs Verification,Drive By,Bid cost 1026.56 for parcel 25800-03-32-09470 at 1434 N EVANSTON AV E stays in Manual Review Candidate because crime risk is High and median household income 44820.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"411 25800-03-32-09470 1434 N EVANSTON AV E 7,830 R IMP 1,026.56 332.25 | LT 7 BLK 4 CITY OF TULSA | MARYLAND HGTS ADDN"
16,26725-02-25-16640,Unknown,515 E UTE ST N,Tulsa,OK,Unknown,74106,1216.55,S.112' LOT 18-BLK-1,R HS IMP,Geocoded,High,Tulsa Census Tract 11400,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,39063.0,0.3162,0.1408,125000.0,855.0,0.1725,0.4798,Medium,5.17,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,9.0,6.9,6.9,5.65,Risky / Needs Verification,Drive By,Bid cost 1216.55 for parcel 26725-02-25-16640 at 515 E UTE ST N stays in Manual Review Candidate because crime risk is High and median household income 39063.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"417 26725-02-25-16640 515 E UTE ST N 6,720 R HS IMP 1,216.55 348.00 | S.112' LOT 18-BLK-1 CITY OF TULSA | MEADOWBROOK ADDN"
17,29650-03-07-03650,Unknown,1355 E 53 ST N,Tulsa,OK,Unknown,74126,1001.89,LT 32 BLK 2,R IMP,Geocoded,High,Tulsa Census Tract 5700,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,43000.0,0.2655,0.114,74400.0,1193.0,0.1914,0.6763,Medium,5.17,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,8.5,6.89,6.89,5.64,Risky / Needs Verification,Drive By,Bid cost 1001.89 for parcel 29650-03-07-03650 at 1355 E 53 ST N stays in Manual Review Candidate because crime risk is High and median household income 43000.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"517 29650-03-07-03650 1355 E 53 ST N 7,200 R IMP 1,001.89 458.25 | LT 32 BLK 2 CITY OF TULSA | NORTHRIDGE ADDN"
18,29650-03-07-06380,Unknown,4936 N ST LOUIS AV E,Tulsa,OK,Unknown,74126,1257.12,LT 17 BLK 10,R HS IMP,Geocoded,High,Tulsa Census Tract 5700,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,43000.0,0.2655,0.114,74400.0,1193.0,0.1914,0.6763,Medium,5.17,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,9.0,6.89,6.89,5.64,Risky / Needs Verification,Drive By,Bid cost 1257.12 for parcel 29650-03-07-06380 at 4936 N ST LOUIS AV E stays in Manual Review Candidate because crime risk is High and median household income 43000.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"526 29650-03-07-06380 4936 N ST LOUIS AV E 8,662 R HS IMP 1,257.12 316.50 | LT 17 BLK 10 CITY OF TULSA | NORTHRIDGE ADDN"
19,52500-03-06-00190,Unknown,2307 E 56 ST N,Unknown,OK,Unknown,74130,1326.96,LT 5 BLK 2 TULSA COUNTY,R HS IMP,Geocoded,High,Tulsa Census Tract 9104,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,46534.0,0.2432,0.1085,66400.0,1103.0,0.2017,0.6459,Medium,5.25,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,9.0,6.88,6.88,5.63,Risky / Needs Verification,Drive By,Bid cost 1326.96 for parcel 52500-03-06-00190 at 2307 E 56 ST N stays in Manual Review Candidate because crime risk is High and median household income 46534.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"943 52500-03-06-00190 2307 E 56 ST N 18,900 R HS IMP 1,326.96 316.50 | LT 5 BLK 2 TULSA COUNTY | BELFLOWER HGTS"
20,18725-92-27-12650,Unknown,4532 S VANCOUVER AV W,Tulsa,OK,Unknown,74107,1071.89,LOT-8-BLK-7,R,Geocoded,High,Tulsa Census Tract 4800,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,53495.0,0.2534,0.0677,97400.0,1188.0,0.1019,0.5688,Medium,6.17,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,6.5,6.77,6.77,5.52,Risky / Needs Verification,Drive By,Bid cost 1071.89 for parcel 18725-92-27-12650 at 4532 S VANCOUVER AV W stays in Manual Review Candidate because crime risk is High and median household income 53495.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"269 18725-92-27-12650 4532 S VANCOUVER AV W 7,200 R 1,071.89 318.00 | LOT-8-BLK-7 CITY OF TULSA | HILLDALE ADDN"
21,05400-02-25-04330,Unknown,524 E YOUNG ST N,Tulsa,OK,Unknown,74106,1418.58,LT 8 BLK 3,R IMP,Geocoded,High,Tulsa Census Tract 11400,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,39063.0,0.3162,0.1408,125000.0,855.0,0.1725,0.4798,Medium,5.17,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,8.5,6.76,6.76,5.51,Risky / Needs Verification,Drive By,Bid cost 1418.58 for parcel 05400-02-25-04330 at 524 E YOUNG ST N stays in Manual Review Candidate because crime risk is High and median household income 39063.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"75 05400-02-25-04330 524 E YOUNG ST N 6,720 R IMP 1,418.58 332.25 | LT 8 BLK 3 CITY OF TULSA | BROOKDALE INVESTMENT CO'S RESUB PT B1-4"
22,34425-02-25-22000,Unknown,2120 N FRANKFORT PL E,Tulsa,OK,Unknown,74106,1429.85,LOT-11-BLK-3,R IMP,Geocoded,High,Tulsa Census Tract 11400,High,1.7,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,39063.0,0.3162,0.1408,125000.0,855.0,0.1725,0.4798,Medium,5.17,High,ACS 2024 5-year via Census Reporter API (Tract-level),10.0,8.5,6.76,6.76,5.51,Risky / Needs Verification,Drive By,Bid cost 1429.85 for parcel 34425-02-25-22000 at 2120 N FRANKFORT PL E stays in Manual Review Candidate because crime risk is High and median household income 39063.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High,"600 34425-02-25-22000 2120 N FRANKFORT PL E 6,325 R IMP 1,429.85 395.25 | LOT-11-BLK-3 CITY OF TULSA | REEDLAWN ADDN"
