final_rank,custom_id,source_list,original_rank,parcel_id,property_address,city,state,bid_cost,legal_description,property_type,source_page,raw_text,extraction_confidence,previous_ai_score,previous_category,previous_recommendation,previous_reasoning_summary,previous_key_risks,previous_confidence_level,prior_geocode_status,prior_latitude,prior_longitude,prior_neighborhood_or_area,prior_crime_risk_level,prior_crime_score,prior_economic_risk_level,prior_economic_strength_score,prior_median_household_income,prior_poverty_rate,prior_median_home_value,prior_vacancy_rate,enrichment_match_method,enrichment_source_file,latitude,longitude,geocode_status,geocode_confidence,geocode_source,geocode_display_name,confirmed_zip_code,neighborhood_or_area,census_tract,block_group,median_household_income,poverty_rate,unemployment_rate,median_home_value,median_gross_rent,vacancy_rate,owner_occupied_rate,economic_source,economic_confidence,economic_strength_score,economic_risk_level,crime_source,crime_data_date_range,crime_incident_count_0_5mi,violent_crime_count_0_5mi,property_crime_count_0_5mi,crime_risk_score,crime_risk_level,crime_confidence,crime_notes,property_clarity_score,geocoding_score,residential_likelihood_score,crime_score,economic_score,bid_price_score,prior_shortlist_score,data_confidence_score,rule_score,rule_category,rule_reasoning,rule_key_risks,manual_due_diligence_priority,ai_score,ai_tier,recommendation,bid_strategy_note,reasoning_summary,crime_economic_summary,key_risks,missing_information,next_due_diligence_step,confidence_level,final_score,final_tier
11,C33-25,"$1,000-$1,500",13,40875-02-13-11530,210 E 44 ST N,Tulsa,OK,1184.93,LOT 18 BLK 6,R HS IMP,Unknown,"751 40875-02-13-11530 210 E 44 ST N 7,200 R HS IMP 1,184.93 316.50 | LOT 18 BLK 6 CITY OF TULSA | SUBURBAN ACRES FOURTH ADDN",High,6.98,Risky / Needs Verification,Drive By,Bid cost 1184.93 for parcel 40875-02-13-11530 at 210 E 44 ST N stays in Manual Review Candidate because crime risk is High and median household income 38750.0; fallback confidence is High.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 8002,High,1.7,Medium,5.5,38750.0,0.2597,76300.0,0.167,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv,36.2182339,-95.9929807,Geocoded,High,Census Geocoder,"210 E 44TH ST N, TULSA, OK, 74106",74106,Tulsa,40143008002,401430080023,38750.0,0.2597,0.0733,76300.0,1129.0,0.167,0.6033,ACS 2024 5-year via Census Reporter API (Tract-level),High,5.5,Medium,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,1.7,High,Medium,Merged from prior iteration screening data; area-level signal only.,10.0,10.0,4.5,1.7,5.5,9.35,5.99,8.0,6.89,Tier 2 Strong Review,"Bid 1184.93 for 40875-02-13-11530 at 210 E 44 ST N screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.5, crime 1.7, and economics 5.5.",high crime context,High,6.89,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1184.93 for parcel 40875-02-13-11530 at 210 E 44 ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.14,Tier 2 Strong Review
12,C33-11,Manual Review,35,25500-03-29-06060,2625 E TECUMSEH ST N,Tulsa,OK,3310.33,W.84 OF LT 1 BLK 5,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 25500-03-29-06060 at 2625 E TECUMSEH ST N in Tulsa shows a low bid cost of 3310.33 and strong property/address clarity (R IMP, complete address) with High extraction/data confidence, but the development match status is No Clear Match with Low development confidence, so it is scored as a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown; no verified development upside (No Clear Match, low development confidence); surrounding value and crime risk are unknown; owner name is unknown, which may complicate title or redemption research.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.1820424,-95.9528527,Geocoded,High,Census Geocoder,"2625 E TECUMSEH ST, TULSA, OK, 74110",74110,Tulsa,40143000400,401430004001,36410.0,0.3705,0.1425,67500.0,882.0,0.12,0.4339,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.08,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,10.0,4.5,5.0,4.08,4.4,7.95,8.0,6.63,Tier 2 Strong Review,"Bid 3310.33 for 25500-03-29-06060 at 2625 E TECUMSEH ST N screened with property clarity 9.3, geocoding 10.0, residential likelihood 4.5, crime 5.0, and economics 4.08.",weak economic context,High,6.63,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3310.33 for parcel 25500-03-29-06060 at 2625 E TECUMSEH ST N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.13,Tier 2 Strong Review
13,C33-13,Manual Review,38,25375-03-29-05240,3215 E XYLER ST N,Tulsa,OK,3313.8,LT 10 BLK 1,R HS IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 25375-03-29-05240 at 3215 E XYLER ST N in Tulsa has a low bid cost of 3313.80 and is classified as R HS IMP with strong property clarity and complete address data. The development match status is No Clear Match with low confidence, so no verified development upside is counted. Overall extraction and data confidence are High, supporting a rule-based score of 6.9 and a Strong Manual Review Candidate classification rather than an automatic investment decision.",ZIP is unknown; no verified development match or surrounding value signal; crime risk is unknown; development confidence is low.,High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.1871399,-95.9420624,Geocoded,High,Census Geocoder,"3215 E XYLER ST, TULSA, OK, 74110",74110,Tulsa,40143000400,401430004002,36410.0,0.3705,0.1425,67500.0,882.0,0.12,0.4339,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.08,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,10.0,4.5,5.0,4.08,4.39,7.95,8.0,6.63,Tier 2 Strong Review,"Bid 3313.80 for 25375-03-29-05240 at 3215 E XYLER ST N screened with property clarity 9.3, geocoding 10.0, residential likelihood 4.5, crime 5.0, and economics 4.08.",weak economic context,High,6.63,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3313.80 for parcel 25375-03-29-05240 at 3215 E XYLER ST N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.13,Tier 2 Strong Review
14,C33-26,"$1,000-$1,500",16,26725-02-25-16640,515 E UTE ST N,Tulsa,OK,1216.55,S.112' LOT 18-BLK-1,R HS IMP,Unknown,"417 26725-02-25-16640 515 E UTE ST N 6,720 R HS IMP 1,216.55 348.00 | S.112' LOT 18-BLK-1 CITY OF TULSA | MEADOWBROOK ADDN",High,6.9,Risky / Needs Verification,Drive By,Bid cost 1216.55 for parcel 26725-02-25-16640 at 515 E UTE ST N stays in Manual Review Candidate because crime risk is High and median household income 39063.0; fallback confidence is High.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 11400,High,1.7,Medium,5.17,39063.0,0.3162,125000.0,0.1725,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv,36.1830271,-95.9881736,Geocoded,High,Census Geocoder,"515 E UTE ST, TULSA, OK, 74106",74106,Tulsa,40143011400,401430114002,39063.0,0.3162,0.1408,125000.0,855.0,0.1725,0.4798,ACS 2024 5-year via Census Reporter API (Tract-level),High,5.17,Medium,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,1.7,High,Medium,Merged from prior iteration screening data; area-level signal only.,10.0,10.0,4.5,1.7,5.17,9.28,5.95,8.0,6.83,Tier 2 Strong Review,"Bid 1216.55 for 26725-02-25-16640 at 515 E UTE ST N screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.5, crime 1.7, and economics 5.17.",high crime context,High,6.83,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1216.55 for parcel 26725-02-25-16640 at 515 E UTE ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.08,Tier 2 Strong Review
15,C33-27,"$1,000-$1,500",21,05400-02-25-04330,524 E YOUNG ST N,Tulsa,OK,1418.58,LT 8 BLK 3,R IMP,Unknown,"75 05400-02-25-04330 524 E YOUNG ST N 6,720 R IMP 1,418.58 332.25 | LT 8 BLK 3 CITY OF TULSA | BROOKDALE INVESTMENT CO'S RESUB PT B1-4",High,6.76,Risky / Needs Verification,Drive By,Bid cost 1418.58 for parcel 05400-02-25-04330 at 524 E YOUNG ST N stays in Manual Review Candidate because crime risk is High and median household income 39063.0; fallback confidence is High.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 11400,High,1.7,Medium,5.17,39063.0,0.3162,125000.0,0.1725,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv,36.1877843,-95.9884546,Geocoded,High,Census Geocoder,"524 E YOUNG ST, TULSA, OK, 74106",74106,Tulsa,40143011400,401430114002,39063.0,0.3162,0.1408,125000.0,855.0,0.1725,0.4798,ACS 2024 5-year via Census Reporter API (Tract-level),High,5.17,Medium,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,1.7,High,Medium,Merged from prior iteration screening data; area-level signal only.,10.0,10.0,4.5,1.7,5.17,8.81,5.88,8.0,6.78,Tier 2 Strong Review,"Bid 1418.58 for 05400-02-25-04330 at 524 E YOUNG ST N screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.5, crime 1.7, and economics 5.17.",high crime context,High,6.78,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1418.58 for parcel 05400-02-25-04330 at 524 E YOUNG ST N falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.03,Tier 2 Strong Review
16,C33-05,Manual Review,11,23175-03-30-13610,2526 N QUAKER AV E,Tulsa,OK,3115.02,LT 6 BLK 4,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 23175-03-30-13610 at 2526 N QUAKER AV E, Tulsa, has a bid cost of 3115.02 and is classified as R IMP with strong property clarity, complete address, and high overall data confidence. Rule-based scoring (6.9) flags it as a Strong Manual Review Candidate. However, development verification shows no clear match and low confidence, so development cannot be treated as an upside factor.",Unknown ZIP; no verified development match; surrounding value signal unknown; crime risk unknown; owner name listed as Unknown.,High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.1901709,-95.9744589,Geocoded,High,Census Geocoder,"2526 N QUAKER AVE, TULSA, OK, 74106",74106,Tulsa,40143000500,401430005001,32356.0,0.3922,0.2206,68600.0,745.0,0.1871,0.376,ACS 2024 5-year via Census Reporter API (Tract-level),High,3.42,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,10.0,4.0,5.0,3.42,4.85,7.95,8.0,6.51,Tier 2 Strong Review,"Bid 3115.02 for 23175-03-30-13610 at 2526 N QUAKER AV E screened with property clarity 9.3, geocoding 10.0, residential likelihood 4.0, crime 5.0, and economics 3.42.",weak economic context,High,6.51,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3115.02 for parcel 23175-03-30-13610 at 2526 N QUAKER AV E falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.01,Tier 2 Strong Review
17,C33-17,"$1,500-$2,000",7,38675-93-10-06110,1321 S DARLINGTON AV E,Tulsa,OK,1603.63,LT 16 BLK 3,R HS IMP,99,"668 38675-93-10-06110 1321 S DARLINGTON AV E 8,460 R HS IMP 1,603.63 316.50 | LT 16 BLK 3 CITY OF TULSA | SMITHVILLE ADDN",High,Unknown,Top Candidate,True,"Bid 1603.63, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv,36.1437916,-95.917962,Geocoded,High,Census Geocoder,"1321 S DARLINGTON AVE, TULSA, OK, 74112",74112,Tulsa,40143003800,401430038001,63068.0,0.1373,0.0662,157200.0,1179.0,0.0974,0.6249,ACS 2024 5-year via Census Reporter API (Tract-level),High,7.33,Low,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown,Unknown,Unknown,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official parcel-level incident counts were not reliably queryable from the public endpoints used in this run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. Overall city-level crime rate text reported 45.0 per 1,000 residents.",10.0,10.0,4.0,1.2,7.33,8.38,6.5,7.5,6.92,Tier 2 Strong Review,"Bid 1603.63 for 38675-93-10-06110 at 1321 S DARLINGTON AV E screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.0, crime 1.2, and economics 7.33.",high crime context,High,6.92,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1603.63 for parcel 38675-93-10-06110 at 1321 S DARLINGTON AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is Low; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is Low with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,5.67,Tier 3 Watch
18,C33-20,"$1,500-$2,000",31,24675-03-31-13270,1404 N ST LOUIS AV E,Tulsa,OK,1697.83,LOT-8-BLK-2,R IMP,56,"381 24675-03-31-13270 1404 N ST LOUIS AV E 7,000 R IMP 1,697.83 316.50 | LOT-8-BLK-2 CITY OF TULSA | MAGIC CITY ADDN",High,Unknown,Top Candidate,True,"Bid 1697.83, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv,36.1753591,-95.9706257,Geocoded,High,Census Geocoder,"1404 N SAINT LOUIS AVE, TULSA, OK, 74106",74106,Tulsa,40143001200,401430012001,60379.0,0.176,0.0633,86400.0,964.0,0.2185,0.5092,ACS 2024 5-year via Census Reporter API (Tract-level),High,6.5,Medium,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown,Unknown,Unknown,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official parcel-level incident counts were not reliably queryable from the public endpoints used in this run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. Overall city-level crime rate text reported 45.0 per 1,000 residents.",10.0,10.0,4.0,1.2,6.5,8.16,5.0,7.5,6.7,Tier 2 Strong Review,"Bid 1697.83 for 24675-03-31-13270 at 1404 N ST LOUIS AV E screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.0, crime 1.2, and economics 6.5.",high crime context,High,6.7,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1697.83 for parcel 24675-03-31-13270 at 1404 N ST LOUIS AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,5.45,Tier 3 Watch
19,C33-02,Manual Review,2,34300-03-32-15230,135 N COLUMBIA AV E,Tulsa,OK,3005.69,LT 24 BLK 4,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 34300-03-32-15230 at 135 N COLUMBIA AV E in Tulsa shows a bid cost of 3005.69 and a rule-based score of 6.9, driven by complete address quality and strong property clarity with high extraction/data confidence. However, the development match status is No Clear Match with low development confidence, so no verified development upside is included in the assessment.","ZIP is unknown; no verified development linkage (No Clear Match, low development confidence); surrounding value and crime risk are both unknown; geocode confidence is only Medium, which may affect precise location and comp analysis.",High,Success,36.1638884,-95.95126,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.1638884,-95.95126,Success,High,Prior Iteration Coordinates,135 N COLUMBIA AV E,Unknown,"Tulsa, OK",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unknown,Unknown,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,4.5,4.0,5.0,4.5,5.11,9.45,7.0,5.89,Tier 3 Watch,"Bid 3005.69 for 34300-03-32-15230 at 135 N COLUMBIA AV E screened with property clarity 9.3, geocoding 4.5, residential likelihood 4.0, crime 5.0, and economics 4.5.",No major red flags beyond normal tax-auction uncertainty.,Medium,5.39,Tier 3 Watch,Drive By,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3005.69 for parcel 34300-03-32-15230 at 135 N COLUMBIA AV E falls into Tier 3 Watch because crime risk is Unknown and economic risk is Unknown; confidence level is Low due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Unknown with Low confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"Medium priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Low,5.41,Tier 3 Watch
20,C33-03,Manual Review,8,44200-02-11-04390,4696 N BOULDER AV W,Tulsa,OK,3075.02,LT 2 BLK 18,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 44200-02-11-04390 at 4696 N BOULDER AV W in Tulsa has high data confidence, complete address quality, and strong property clarity, supporting the rule-based score of 6.9 and a Strong Manual Review Candidate classification. The bid cost of 3075.02 is flagged as a strong signal, but the development verification shows No Clear Match with low confidence, so no development premium is applied. Overall, the property merits manual review but not automatic elevation based on development.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are both unknown, increasing uncertainty around neighborhood context.",High,Success,36.2238614,-95.9973014,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.2238614,-95.9973014,Success,High,Prior Iteration Coordinates,4696 N BOULDER AV W,Unknown,"Tulsa, OK",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unknown,Unknown,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,4.5,4.0,5.0,4.5,4.95,9.45,7.0,5.88,Tier 3 Watch,"Bid 3075.02 for 44200-02-11-04390 at 4696 N BOULDER AV W screened with property clarity 9.3, geocoding 4.5, residential likelihood 4.0, crime 5.0, and economics 4.5.",No major red flags beyond normal tax-auction uncertainty.,Medium,5.38,Tier 3 Watch,Drive By,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3075.02 for parcel 44200-02-11-04390 at 4696 N BOULDER AV W falls into Tier 3 Watch because crime risk is Unknown and economic risk is Unknown; confidence level is Low due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Unknown with Low confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"Medium priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Low,5.4,Tier 3 Watch
21,C33-04,Manual Review,9,34750-02-26-08160,2507 N MAIN ST E TULSA,Tulsa,OK,3097.02,PRT LTS 9 & 10 BEG SWC LT 9 TH NLY65 ELY TO SECR,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 34750-02-26-08160 at 2507 N MAIN ST E in Tulsa has a low bid cost of 3097.02 and strong property/address clarity, with overall data and extraction confidence rated High. However, the development match status is No Clear Match with low confidence, so no development upside is verified. Given the rule-based score of 6.9 and Medium geocode confidence, this is a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown.",High,Success,36.1903393,-95.996621,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.1903393,-95.996621,Success,High,Prior Iteration Coordinates,2507 N MAIN ST E TULSA,Unknown,"Tulsa, OK",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unknown,Unknown,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,4.5,4.0,5.0,4.5,4.9,9.45,7.0,5.87,Tier 3 Watch,"Bid 3097.02 for 34750-02-26-08160 at 2507 N MAIN ST E TULSA screened with property clarity 9.3, geocoding 4.5, residential likelihood 4.0, crime 5.0, and economics 4.5.",No major red flags beyond normal tax-auction uncertainty.,Medium,5.37,Tier 3 Watch,Drive By,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3097.02 for parcel 34750-02-26-08160 at 2507 N MAIN ST E TULSA falls into Tier 3 Watch because crime risk is Unknown and economic risk is Unknown; confidence level is Low due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Unknown with Low confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"Medium priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Low,5.39,Tier 3 Watch
22,C33-19,"$1,500-$2,000",28,40825-02-13-08310,4337 N GARRISON AV E,Tulsa,OK,1697.16,LT 25 BLK 6,R IMP,107,"725 40825-02-13-08310 4337 N GARRISON AV E 8,160 R IMP 1,697.16 332.25 | LT 25 BLK 6 CITY OF TULSA | SUBURBAN ACRES SECOND",High,Unknown,Top Candidate,True,"Bid 1697.16, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv,36.217098,-95.9867195,Geocoded,High,Census Geocoder,"4337 N GARRISON AVE, TULSA, OK, 74106",74106,Tulsa,40143008002,401430080023,38750.0,0.2597,0.0733,76300.0,1129.0,0.167,0.6033,ACS 2024 5-year via Census Reporter API (Tract-level),High,5.5,Medium,NeighborhoodScout city-level crime page (low-confidence proxy),2021 city-level page,Unknown,Unknown,Unknown,1.7,High,Low,"City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official parcel-level incident counts were not reliably queryable from the public endpoints used in this run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. Overall city-level crime rate text reported 45.0 per 1,000 residents.",10.0,10.0,4.0,1.2,5.5,8.16,5.0,7.5,6.55,Tier 2 Strong Review,"Bid 1697.16 for 40825-02-13-08310 at 4337 N GARRISON AV E screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.0, crime 1.2, and economics 5.5.",high crime context,High,6.55,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1697.16 for parcel 40825-02-13-08310 at 4337 N GARRISON AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Low confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,5.3,Tier 3 Watch
