custom_id,source_list,original_rank,parcel_id,property_address,city,state,bid_cost,legal_description,property_type,source_page,raw_text,extraction_confidence,previous_ai_score,previous_category,previous_recommendation,previous_reasoning_summary,previous_key_risks,previous_confidence_level,prior_geocode_status,prior_latitude,prior_longitude,prior_neighborhood_or_area,prior_crime_risk_level,prior_crime_score,prior_economic_risk_level,prior_economic_strength_score,prior_median_household_income,prior_poverty_rate,prior_median_home_value,prior_vacancy_rate,enrichment_match_method,enrichment_source_file
C33-11,Manual Review,35,25500-03-29-06060,2625 E TECUMSEH ST N,Tulsa,OK,3310.33,W.84 OF LT 1 BLK 5,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 25500-03-29-06060 at 2625 E TECUMSEH ST N in Tulsa shows a low bid cost of 3310.33 and strong property/address clarity (R IMP, complete address) with High extraction/data confidence, but the development match status is No Clear Match with Low development confidence, so it is scored as a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown; no verified development upside (No Clear Match, low development confidence); surrounding value and crime risk are unknown; owner name is unknown, which may complicate title or redemption research.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-12,Manual Review,36,44200-02-11-03380,4627 N BOSTON AV E,Tulsa,OK,3311.0,LT 27 BLK 15,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 44200-02-11-03380 at 4627 N BOSTON AV E, Tulsa, shows a low bid cost of 3311.00 and strong property clarity with complete address data, but the development match status is No Clear Match and the development confidence is low. Overall data and extraction confidence are high, supporting a conservative but favorable rule-based score of 6.9 that warrants manual review rather than an automatic investment decision.",ZIP is unknown; no verified development or area-upside signal; surrounding value and crime risk are unknown; reliance on rule-based scoring without external market validation.,High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-13,Manual Review,38,25375-03-29-05240,3215 E XYLER ST N,Tulsa,OK,3313.8,LT 10 BLK 1,R HS IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 25375-03-29-05240 at 3215 E XYLER ST N in Tulsa has a low bid cost of 3313.80 and is classified as R HS IMP with strong property clarity and complete address data. The development match status is No Clear Match with low confidence, so no verified development upside is counted. Overall extraction and data confidence are High, supporting a rule-based score of 6.9 and a Strong Manual Review Candidate classification rather than an automatic investment decision.",ZIP is unknown; no verified development match or surrounding value signal; crime risk is unknown; development confidence is low.,High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-14,Manual Review,40,44250-02-12-15190,549 E 54 PL N,Tulsa,OK,3327.0,LT 17 BLK 54,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 44250-02-12-15190 at 549 E 54 PL N, Tulsa, has a low bid cost of 3327.00, complete address, strong property clarity, and high overall data confidence. Rule-based scoring classifies it as a Strong Manual Review Candidate with a 6.9 score. However, development verification shows no clear match and low confidence, so no development premium is assumed.",ZIP unknown; no verified development match; surrounding value and crime risk unknown.,High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-15,Manual Review,43,46465-92-11-31880,2034 S PHOENIX AV W,Tulsa,OK,3329.0,LT 30 BLK 1,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"The parcel at 2034 S PHOENIX AV W (Parcel ID 46465-92-11-31880) has high data confidence, complete address quality, and strong property clarity, supporting a solid rule-based score of 6.9. The bid cost of 3329.0 is flagged as a strong price signal, making it a potentially appealing low-entry-cost residential improvement opportunity. However, the development verification shows No Clear Match with low confidence, so no external development upside can be relied upon. Given the combination of strong internal signals and lack of verified development benefits, it fits best as a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown, limiting precise location and comp analysis; no clear or verified nearby development to support appreciation; crime risk and surrounding value signals are unknown; owner name is unknown, which may complicate title or notification review.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-16,"$1,500-$2,000",2,47175-03-29-18430,1903 N FLORENCE PL E,Tulsa,OK,1549.17,LT-13-BLK-3,R HS IMP,135,"921 47175-03-29-18430 1903 N FLORENCE PL E 7,995 R HS IMP 1,549.17 316.50 | LT-13-BLK-3 CITY OF TULSA | WILKERSON HGTS",High,Unknown,Top Candidate,True,"Bid 1549.17, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv
C33-17,"$1,500-$2,000",7,38675-93-10-06110,1321 S DARLINGTON AV E,Tulsa,OK,1603.63,LT 16 BLK 3,R HS IMP,99,"668 38675-93-10-06110 1321 S DARLINGTON AV E 8,460 R HS IMP 1,603.63 316.50 | LT 16 BLK 3 CITY OF TULSA | SMITHVILLE ADDN",High,Unknown,Top Candidate,True,"Bid 1603.63, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv
C33-18,"$1,500-$2,000",12,40250-03-31-14910,1945 E NEWTON ST N,Tulsa,OK,1613.17,W50 E124 S127.5 LT 42,R IMP,102,"691 40250-03-31-14910 1945 E NEWTON ST N 6,375 R IMP 1,613.17 332.25 | W50 E124 S127.5 LT 42 CITY OF TULSA | SPRINGDALE ACRE LOT ADDN",High,Unknown,Top Candidate,True,"Bid 1613.17, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv
C33-19,"$1,500-$2,000",28,40825-02-13-08310,4337 N GARRISON AV E,Tulsa,OK,1697.16,LT 25 BLK 6,R IMP,107,"725 40825-02-13-08310 4337 N GARRISON AV E 8,160 R IMP 1,697.16 332.25 | LT 25 BLK 6 CITY OF TULSA | SUBURBAN ACRES SECOND",High,Unknown,Top Candidate,True,"Bid 1697.16, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv
C33-20,"$1,500-$2,000",31,24675-03-31-13270,1404 N ST LOUIS AV E,Tulsa,OK,1697.83,LOT-8-BLK-2,R IMP,56,"381 24675-03-31-13270 1404 N ST LOUIS AV E 7,000 R IMP 1,697.83 316.50 | LOT-8-BLK-2 CITY OF TULSA | MAGIC CITY ADDN",High,Unknown,Top Candidate,True,"Bid 1697.83, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv
C33-21,"$1,500-$2,000",43,40850-02-12-07900,517 E 47 PL N,Tulsa,OK,1771.82,LT 19 BLK 7,R IMP,110,"744 40850-02-12-07900 517 E 47 PL N 7,680 R IMP 1,771.82 332.25 | LT 19 BLK 7 CITY OF TULSA | SUBURBAN ACRES THIRD ADDN",High,Unknown,Manual Review Candidate,True,"Bid 1771.82, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv
C33-22,"$1,500-$2,000",44,40250-03-31-15190,2143 E NEWTON ST N,Tulsa,OK,1778.61,W 50 S 127.5 LT 46,R IMP,103,"693 40250-03-31-15190 2143 E NEWTON ST N 6,400 R IMP 1,778.61 316.50 | W 50 S 127.5 LT 46 CITY OF TULSA | SPRINGDALE ACRE LOT ADDN",High,Unknown,Manual Review Candidate,True,"Bid 1778.61, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv
C33-23,"$1,500-$2,000",46,44675-92-08-04450,5128 W CHARLES PAGE,Tulsa,OK,1783.15,LT 5 BLK 2 BV S,R IMP,130,"884 44675-92-08-04450 5128 W CHARLES PAGE 15,000 R IMP 1,783.15 379.50 | LT 5 BLK 2 BV S | VERN SUB AMD CITY OF TULSA",High,Unknown,Manual Review Candidate,True,"Bid 1783.15, address quality 9, property clarity 10, residential signal 9.0, development/location signal 4, risk penalty 0.",None observed,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,parcel_id,iterations/iteration_08_1500_to_2000_top50/cleaned_data/ranked_properties_1500_to_2000.csv
C33-24,"$1,000-$1,500",5,24925-02-36-17420,1084 N NORFOLK AV E,Tulsa,OK,1199.79,LT 1 BLK 3,R HS IMP,Unknown,"383 24925-02-36-17420 1084 N NORFOLK AV E 5,000 R HS IMP 1,199.79 395.25 | LT 1 BLK 3 CITY OF TULSA | MANN'S ADDN",High,7.17,Risky / Needs Verification,Drive By,Bid cost 1199.79 for parcel 24925-02-36-17420 at 1084 N NORFOLK AV E stays in Manual Review Candidate because crime risk is High and median household income 60379.0; fallback confidence is High.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 1200,High,1.7,Medium,6.5,60379.0,0.176,86400.0,0.2185,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv
C33-25,"$1,000-$1,500",13,40875-02-13-11530,210 E 44 ST N,Tulsa,OK,1184.93,LOT 18 BLK 6,R HS IMP,Unknown,"751 40875-02-13-11530 210 E 44 ST N 7,200 R HS IMP 1,184.93 316.50 | LOT 18 BLK 6 CITY OF TULSA | SUBURBAN ACRES FOURTH ADDN",High,6.98,Risky / Needs Verification,Drive By,Bid cost 1184.93 for parcel 40875-02-13-11530 at 210 E 44 ST N stays in Manual Review Candidate because crime risk is High and median household income 38750.0; fallback confidence is High.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 8002,High,1.7,Medium,5.5,38750.0,0.2597,76300.0,0.167,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv
C33-26,"$1,000-$1,500",16,26725-02-25-16640,515 E UTE ST N,Tulsa,OK,1216.55,S.112' LOT 18-BLK-1,R HS IMP,Unknown,"417 26725-02-25-16640 515 E UTE ST N 6,720 R HS IMP 1,216.55 348.00 | S.112' LOT 18-BLK-1 CITY OF TULSA | MEADOWBROOK ADDN",High,6.9,Risky / Needs Verification,Drive By,Bid cost 1216.55 for parcel 26725-02-25-16640 at 515 E UTE ST N stays in Manual Review Candidate because crime risk is High and median household income 39063.0; fallback confidence is High.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 11400,High,1.7,Medium,5.17,39063.0,0.3162,125000.0,0.1725,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv
C33-27,"$1,000-$1,500",21,05400-02-25-04330,524 E YOUNG ST N,Tulsa,OK,1418.58,LT 8 BLK 3,R IMP,Unknown,"75 05400-02-25-04330 524 E YOUNG ST N 6,720 R IMP 1,418.58 332.25 | LT 8 BLK 3 CITY OF TULSA | BROOKDALE INVESTMENT CO'S RESUB PT B1-4",High,6.76,Risky / Needs Verification,Drive By,Bid cost 1418.58 for parcel 05400-02-25-04330 at 524 E YOUNG ST N stays in Manual Review Candidate because crime risk is High and median household income 39063.0; fallback confidence is High.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 11400,High,1.7,Medium,5.17,39063.0,0.3162,125000.0,0.1725,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv
C33-28,"$1,000-$1,500",32,41025-02-01-04710,5901 N GARRISON PL E,Tulsa,OK,1273.2,LT 9 BLK 6,R IMP,Unknown,"762 41025-02-01-04710 5901 N GARRISON PL E 7,200 R IMP 1,273.20 316.50 | LT 9 BLK 6 CITY OF TULSA | SUBURBAN HILLS ADDN",High,6.69,Risky / Needs Verification,Drive By,Bid cost 1273.20 for parcel 41025-02-01-04710 at 5901 N GARRISON PL E stays in Manual Review Candidate because crime risk is High and median household income 41493.0; fallback confidence is High.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 9101,High,1.7,High,4.58,41493.0,0.3846,54200.0,0.1913,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv
C33-29,"$1,000-$1,500",33,41025-02-01-05430,522 E 59 ST N,Tulsa,OK,1273.2,LT 16 BLK 9,R IMP,Unknown,"769 41025-02-01-05430 522 E 59 ST N 7,200 R IMP 1,273.20 363.75 | LT 16 BLK 9 CITY OF TULSA | SUBURBAN HILLS ADDN",High,6.69,Risky / Needs Verification,Drive By,Bid cost 1273.20 for parcel 41025-02-01-05430 at 522 E 59 ST N stays in Manual Review Candidate because crime risk is High and median household income 41493.0; fallback confidence is High.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 9101,High,1.7,High,4.58,41493.0,0.3846,54200.0,0.1913,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv
C33-30,"$1,000-$1,500",36,43300-03-29-09940,2311 N ATLANTA AV E,Tulsa,OK,1179.88,LT 29 BK 4,R IMP,Unknown,"802 43300-03-29-09940 2311 N ATLANTA AV E 5,000 R IMP 1,179.88 332.25 | LT 29 BK 4 CITY OF TULSA | TULSA HGTS",High,6.62,Risky / Needs Verification,Drive By,Bid cost 1179.88 for parcel 43300-03-29-09940 at 2311 N ATLANTA AV E stays in Manual Review Candidate because crime risk is High and median household income 36410.0; fallback confidence is High.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 400,High,1.7,High,4.08,36410.0,0.3705,67500.0,0.12,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv
C33-31,"$1,000-$1,500",38,05850-03-30-04070,1844 N TRENTON AV E,Tulsa,OK,1297.53,LT 22 & S25 VAC UTE ST ON N BLK 8,R HS IMP,Unknown,"82 05850-03-30-04070 1844 N TRENTON AV E 10,500 R HS IMP 1,297.53 332.25 | LT 22 & S25 VAC UTE ST ON N BLK 8 CITY OF TULSA | BULLETTE HGTS 2ND ADDN",High,6.53,Risky / Needs Verification,Drive By,Bid cost 1297.53 for parcel 05850-03-30-04070 at 1844 N TRENTON AV E stays in Manual Review Candidate because crime risk is High and median household income 32356.0; fallback confidence is High.,Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 500,High,1.7,High,3.42,32356.0,0.3922,68600.0,0.1871,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv
C33-32,"$900-$1,000",1,01875-03-19-00200,2612 N TRENTON AV E,Tulsa,OK,962.57,LT 10 BLK 2,R IMP,Unknown,"21 01875-03-19-00200 2612 N TRENTON AV E 7,000 R IMP 962.57 332.25 | LT 10 BLK 2 CITY OF TULSA | APACHE PLACE ADDN",Medium,6.8,Risky / Needs Verification,Drive By,"The parcel at 2612 N TRENTON AV E in Tulsa (confirmed ZIP 74106) has strong data quality (property clarity 10.0, geocoding 9.0, residential likelihood 8.5) and a low bid cost of $962.57, which is attractive relative to the tract’s median home value of about $121,800. The area’s economic profile is mixed but not severely distressed: median household income ~$44,485, poverty ~19.6%, unemployment ~17.3%, and relatively high owner-occupancy (~73.7%) with a notable vacancy rate (~15.9%). However, the city-level crime proxy for Tulsa indicates high crime risk (Crime Risk Score 1.7, city safer than only ~2% of U.S. cities), and we lack parcel- or neighborhood-specific crime data. Given the combination of decent economic indicators, strong data confidence, and high but low-confidence crime risk, this property remains a Manual Review Candidate rather than a clear Top Candidate.","1) High city-level crime risk with only low-confidence, non-parcel-specific data; local conditions around 2612 N TRENTON AV E could be worse than the tract average. 2) Elevated unemployment (~17.3%) and non-trivial poverty (~19.6%) may limit resale or rental demand and tenant quality. 3) Vacancy rate (~15.9%) indicates some risk of weak demand or neighborhood blight. 4) Owner name is unknown in the dataset, which may signal title or record-keeping complexity that needs verification. 5) Crime data is city-level only; absence of parcel-level or 0.5-mile incident counts increases uncertainty about true safety and desirability.",Medium,Geocoded,Unknown,Unknown,Tulsa Census Tract 200,High,1.7,Medium,6.33,44485.0,0.1962,121800.0,0.1585,parcel_id,iterations/iteration_10_900_to_1000_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv
