parcel_id,ai_score_1_to_10,ai_color_rating,ai_category,agree_with_user_rating,rating_change_from_previous,investment_summary,key_positive_signals,key_risks,missing_information,next_due_diligence_step,confidence_level
23175-03-30-13610,5.5,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3115.02; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; Unknown ZIP; no verified development match; surrounding value signal unknown; crime risk unknown; owner name listed as Unknown.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
90327-03-27-26880,5.5,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3120.35; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type C IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; Unknown ZIP code; no verified nearby development or project tie-in; surrounding value and crime risk are both unknown; geocode confidence only medium.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
25500-03-29-06000,5.5,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3123.68; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP unknown; no verified development match or distance-based upside; surrounding value and crime risk are unknown; owner listed as Unknown, which may complicate title or notification history.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
41025-02-01-04490,5.5,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3123.68; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown, limiting precise location and comp analysis; no verified nearby development or project to support appreciation assumptions; crime and surrounding value signals are unknown; owner name is unknown, which may complicate title or notification review.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
53775-02-02-00220,5.5,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3140.32; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R HS IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown, limiting precise location and comp analysis; no verified development linkage or nearby project-based upside; surrounding value and crime risk are both unknown.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
23125-02-25-15350,5.5,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3140.35; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development or surrounding value signal; crime risk estimate unknown; development geocoding/match not confirmed.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
07600-02-24-01200,5.5,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3152.35; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type C IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP unknown; no verified nearby development or project; development match explicitly No Clear Match; commercial use specifics and condition not detailed; surrounding value and crime risk unknown.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
44200-02-11-01790,5.5,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3153.01; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development or surrounding value signal; crime risk is unknown; owner name is unknown; development match explicitly marked as No Clear Match with low confidence.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
44200-02-11-01470,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3160.35; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development match or distance-based tie to a project; surrounding value and crime risk are unknown; owner name listed as Unknown may complicate title or research.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
09725-03-30-08040,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3183.01; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development upside (No Clear Match, low development confidence); surrounding value and crime risk are unknown; geocode confidence only Medium.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
44200-02-14-06630,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3183.01; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown, limiting neighborhood and value context; no verified development match or surrounding value signal; crime risk and area value indicators are unknown.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
44225-02-12-09330,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3199.68; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; development upside is not verified; surrounding value and crime risk are unknown.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
54325-92-31-02630,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3211.01; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development match or surrounding value signal; crime risk is unknown; development confidence is low, so potential upside from nearby projects cannot be relied upon.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
07725-02-13-02930,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3234.47; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R HS IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development match or surrounding value signal; crime risk and neighborhood context are unknown; development upside cannot be confirmed.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
79200-84-14-04250,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3244.88; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R HS IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development tie-in (No Clear Match, low development confidence); surrounding value and crime risk are unknown.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
07675-02-13-01140,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3245.67; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R HS IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development linkage (No Clear Match, low development confidence); surrounding value and crime risk are unknown; actual property condition and occupancy are not provided.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
49650-03-34-13420,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3249.0; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no clear or verified development match; surrounding value and crime risk are unknown.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
41025-02-01-06510,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3259.67; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
15500-03-32-04800,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3267.45; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R HS IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP unknown; no clear or verified development match; surrounding value and crime risk unknown.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
05825-03-30-01260,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3268.33; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown, limiting precise neighborhood and value analysis; no verified nearby development or project to support appreciation assumptions; geocode confidence is only medium; surrounding value and crime risk are both unknown.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
37650-02-12-04530,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3271.21; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development or surrounding value signal; crime risk is unknown; geocode confidence is only medium.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
49700-03-34-14030,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3272.62; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; development upside is not verified (No Clear Match, low development confidence); surrounding value and crime risk are unknown.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
32325-92-24-04910,5.4,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3277.02; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R HS IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified nearby development or named project; geocode confidence only medium; surrounding value and crime risk are unknown.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
17675-02-24-07570,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3310.33; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP unknown; no verified nearby development or project tie-in; surrounding value and crime risk are both unknown, limiting context for valuation and risk assessment.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
25500-03-29-06060,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3310.33; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development upside (No Clear Match, low development confidence); surrounding value and crime risk are unknown; owner name is unknown, which may complicate title or redemption research.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
44200-02-11-03380,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3311.0; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development or area-upside signal; surrounding value and crime risk are unknown; reliance on rule-based scoring without external market validation.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
17675-02-24-08030,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3311.0; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development or surrounding value signal; crime risk and surrounding value are unknown; development match is No Clear Match with low confidence.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
25375-03-29-05240,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3313.8; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R HS IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development match or surrounding value signal; crime risk is unknown; development confidence is low.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
90306-03-06-24020,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3314.33; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; development upside is not verified; surrounding value and crime risk are unknown, increasing uncertainty around long-term value and exit potential.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
44250-02-12-15190,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3327.0; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP unknown; no verified development match; surrounding value and crime risk unknown.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
53825-02-02-01310,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3327.66; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; Unknown ZIP; no verified development match; surrounding value signal unknown; crime risk estimate unknown.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
29650-03-07-03460,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3327.66; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development or surrounding value signal; crime risk and neighborhood context are unknown; owner listed as Unknown may complicate title or notification history.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
46465-92-11-31880,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3329.0; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown, limiting precise location and comp analysis; no clear or verified nearby development to support appreciation; crime risk and surrounding value signals are unknown; owner name is unknown, which may complicate title or notification review.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
12175-92-03-02290,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3366.33; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified nearby development or area project; surrounding value and crime risk are both unknown, limiting value and risk assessment.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
07675-02-13-01590,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3368.32; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified nearby development or area project; surrounding value and crime risk are unknown.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
04550-03-32-02430,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3368.99; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown, limiting precise location and comp analysis; no verified development match or surrounding value signal; crime risk and surrounding value are unknown; owner name is listed as Unknown, which may complicate title or research.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
26250-92-05-02570,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3382.32; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development match or surrounding value signal; crime risk and surrounding value are unknown; geocode confidence only medium.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
29625-02-36-21010,5.3,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3388.99; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development upside (No Clear Match, low development confidence); surrounding value and crime risk are unknown.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
