rank,parcel_id,owner_name,property_address,city,state,zip_code,bid_cost,legal_description,property_type,source_page,extraction_confidence,final_development_match_strength,final_matched_development_area,property_geocode_status,geocode_confidence,corrected_development_match_strength,final_rule_based_score,final_rule_based_category,final_ai_review_score,final_investment_category,final_recommendation,final_reasoning_summary,final_key_risks,final_missing_information,final_next_due_diligence_step,final_confidence_level,user_color_rating,user_rating_meaning,user_rating_source
11,23175-03-30-13610,Unknown,2526 N QUAKER AV E,Tulsa,OK,Unknown,3115.02,LT 6 BLK 4,R IMP,50,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 23175-03-30-13610 at 2526 N QUAKER AV E, Tulsa, has a bid cost of 3115.02 and is classified as R IMP with strong property clarity, complete address, and high overall data confidence. Rule-based scoring (6.9) flags it as a Strong Manual Review Candidate. However, development verification shows no clear match and low confidence, so development cannot be treated as an upside factor.",Unknown ZIP; no verified development match; surrounding value signal unknown; crime risk unknown; owner name listed as Unknown.,Exact ZIP code; surrounding property value context; crime risk details; confirmation of current occupancy/condition; any nearby development or infrastructure projects not captured in the current data.,"Manually confirm the precise ZIP and neighborhood context for 2526 N QUAKER AV E, then pull surrounding sales/assessed values and any known local development or zoning changes to validate whether the 3115.02 bid cost is supported by area fundamentals.",High,Unknown,Unknown,Not provided in input file
12,90327-03-27-26880,Unknown,2011 N YALE AV E,Tulsa,OK,Unknown,3120.35,BG 46.95N SWC NW NW SW TH E111.25 NELY205.31,C IMP,185,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 2011 N YALE AV E, Tulsa (ID 90327-03-27-26880) has a relatively low bid cost of 3120.35, complete address quality, strong property clarity, and high data confidence, which together yield a strong rule-based score of 6.9 and justify manual review. However, the development verification shows No Clear Match with low confidence and no distance-based confirmation, so development is not a positive factor. Overall, it fits as a Strong Manual Review Candidate rather than a confirmed good investment.",Unknown ZIP code; no verified nearby development or project tie-in; surrounding value and crime risk are both unknown; geocode confidence only medium.,Exact ZIP code; detailed property characteristics beyond type C IMP; surrounding property value context; crime/safety profile; any confirmed nearby development or infrastructure projects.,"Manually confirm the precise location and ZIP, then pull local property records and market comps around 2011 N YALE AV E to assess commercial viability and surrounding values before considering a bid at 3120.35.",High,Unknown,Unknown,Not provided in input file
13,25500-03-29-06000,Unknown,1831 N BIRMINGHAM PL E,Tulsa,OK,Unknown,3123.68,N.1/2 OF LT 3 BLK 4,R IMP,59,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel 25500-03-29-06000 at 1831 N BIRMINGHAM PL E, Tulsa, is a residential improvement (R IMP) with a relatively low bid cost of 3123.68. Rule-based scoring (6.9) and category Strong Manual Review Candidate reflect strong property clarity, complete address, and high data confidence. However, there is no clear matched development area, distance match is unverified, and ZIP is unknown, so potential upside is based only on the property itself, not on surrounding development.","ZIP unknown; no verified development match or distance-based upside; surrounding value and crime risk are unknown; owner listed as Unknown, which may complicate title or notification history.",Exact ZIP code; any comps or surrounding value indicators; crime risk data; confirmation of current physical condition of the residential improvement; verification of clear title and any liens beyond the tax obligation.,"Manually confirm parcel details with county records (including ZIP, structure details, and any additional liens), then review neighborhood-level value and risk indicators to determine whether the low bid cost of 3123.68 aligns with acceptable risk for this residential improvement.",High,Unknown,Unknown,Not provided in input file
14,41025-02-01-04490,Unknown,543 E 59 PL N,Tulsa,OK,Unknown,3123.68,LT 10 BLK 4,R IMP,112,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 543 E 59 PL N (Parcel ID 41025-02-01-04490) has high data confidence, complete address quality, and strong property clarity, supporting the rule-based score of 6.9 and a Strong Manual Review Candidate classification. The bid cost of 3123.68 appears attractive enough to warrant deeper research, but the development verification shows No Clear Match with low confidence, so no development premium should be assumed.","ZIP is unknown, limiting precise location and comp analysis; no verified nearby development or project to support appreciation assumptions; crime and surrounding value signals are unknown; owner name is unknown, which may complicate title or notification review.",Exact ZIP code; clearer neighborhood and surrounding value context; crime risk estimate; any verified nearby development or infrastructure projects; more detailed property characteristics beyond R IMP classification.,"Manually confirm the precise location and ZIP for 543 E 59 PL N, then review local value context and any known developments or infrastructure plans before assessing maximum bid and exit strategy.",High,Unknown,Unknown,Not provided in input file
15,53775-02-02-00220,Unknown,6105 N MAIN ST E,Tulsa,OK,Unknown,3140.32,LT 22 BK 1,R HS IMP,142,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 6105 N MAIN ST E (Parcel ID 53775-02-02-00220) has high data confidence, complete address quality, and strong property clarity, supporting the rule-based score of 6.9 and Strong Manual Review Candidate status. The bid cost of 3140.32 is flagged as a strong price signal, suggesting potential value if the asset and area check out. However, the development verification shows No Clear Match with low confidence, so no development-driven upside is confirmed.","ZIP is unknown, limiting precise location and comp analysis; no verified development linkage or nearby project-based upside; surrounding value and crime risk are both unknown.",Exact ZIP code; surrounding property value context; crime/safety profile; property condition and improvements detail beyond R HS IMP; any local zoning or planned development information not captured in the current data.,"Manually confirm the precise location and ZIP for 6105 N MAIN ST E, then pull local sales/assessed values and basic neighborhood risk indicators to validate whether the low bid cost aligns with area values before considering further investment analysis.",High,Unknown,Unknown,Not provided in input file
16,23125-02-25-15350,Unknown,1864 N OWASSO AV E,Tulsa,OK,Unknown,3140.35,LT 5 BLK 7,R IMP,50,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 23125-02-25-15350 at 1864 N OWASSO AV E in Tulsa has a bid cost of 3140.35, high extraction/data confidence, complete address, and strong property clarity, which together yield a rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, the development match is 'No Clear Match' with low confidence and no distance-based confirmation, so development is not a positive factor. The unknown ZIP and unverified surrounding value/crime risk keep overall investment certainty below a Good Investment threshold.",ZIP is unknown; no verified development or surrounding value signal; crime risk estimate unknown; development geocoding/match not confirmed.,Exact ZIP code; neighborhood and surrounding value context; crime/safety profile; property condition and improvements detail beyond 'R IMP'; any local development or zoning information not captured in the current data.,"Manually confirm the full address including ZIP and pull local parcel records (assessor or GIS) to verify property characteristics, neighborhood context, and any nearby development or zoning changes before considering a bid at approximately 3140.35.",High,Unknown,Unknown,Not provided in input file
17,07600-02-24-01200,Unknown,820 E 36 ST N,Tulsa,OK,Unknown,3152.35,LTS 1 & 2 BLK 3,C IMP,15,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The rule-based score of 6.9 and category Strong Manual Review Candidate reflect a relatively attractive bid cost of 3152.35 for parcel 07600-02-24-01200, a complete address and strong property clarity for a commercial improvement (C IMP), and high overall data confidence. However, the development verification shows No Clear Match with low confidence, so there is no confirmed development catalyst, and the unknown ZIP adds location uncertainty. These factors support prioritizing manual review rather than treating it as a confirmed good investment.",ZIP unknown; no verified nearby development or project; development match explicitly No Clear Match; commercial use specifics and condition not detailed; surrounding value and crime risk unknown.,Exact ZIP code; more precise location context (surrounding uses and values); details on the commercial improvement type and condition; confirmation of any nearby development or infrastructure projects; clearer neighborhood risk indicators.,"Manually confirm the precise location and ZIP for 820 E 36 ST N, verify the nature and condition of the commercial improvements, and independently check for any nearby development or infrastructure activity that could justify the bid relative to local commercial values.",High,Unknown,Unknown,Not provided in input file
18,44200-02-11-01790,Unknown,137 W 50 PL N,Tulsa,OK,Unknown,3153.01,LT 17 BLK 8,R IMP,122,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 137 W 50 PL N, Tulsa (ID 44200-02-11-01790) has a bid cost of 3153.01, complete address data, strong property clarity, and high overall data confidence, which together produced a rule-based score of 6.9 and a Strong Manual Review Candidate category. However, the development verification shows No Clear Match with low confidence and no confirmed proximity to a named project, so development is not a positive factor. The main appeal is the relatively low bid cost on a residential improvement property with clear basic data, warranting deeper manual review rather than an automatic investment judgment.",ZIP is unknown; no verified development or surrounding value signal; crime risk is unknown; owner name is unknown; development match explicitly marked as No Clear Match with low confidence.,"Exact ZIP code; any verified surrounding value or comp data; crime risk context; details on the existing residential improvement (size, condition, occupancy); clearer ownership information beyond 'Unknown'; any confirmed nearby development or infrastructure projects.","Manually confirm the precise location and ZIP for 137 W 50 PL N, verify current property condition and occupancy status for the R IMP asset, and check local market and crime context to determine whether the low bid cost of 3153.01 aligns with acceptable risk and resale or rental potential.",High,Unknown,Unknown,Not provided in input file
19,44200-02-11-01470,Unknown,113 E 49 ST N,Tulsa,OK,Unknown,3160.35,LT 25 BLK 6,R IMP,122,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 113 E 49 ST N, Tulsa (Parcel ID 44200-02-11-01470) has a low bid cost of 3160.35, complete address quality, strong property clarity, and high overall data confidence, which together yield a rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, the development match is 'No Clear Match' with low confidence and no distance-verified tie to any project, so development is not a positive factor. The unknown ZIP and unverified surrounding value/crime risk keep this from qualifying as a Good Investment at this stage.",ZIP is unknown; no verified development match or distance-based tie to a project; surrounding value and crime risk are unknown; owner name listed as Unknown may complicate title or research.,Exact ZIP code; any verified nearby development or infrastructure projects; surrounding property value context; crime/safety indicators; more detailed property characteristics beyond 'R IMP'; ownership/title clarity.,"Manually confirm the full mailing/ZIP information and pull county records for this parcel to verify ownership, property characteristics, and neighborhood value context before considering a bid at or above 3160.35.",High,Unknown,Unknown,Not provided in input file
20,09725-03-30-08040,Unknown,2043 E XYLER ST N,Tulsa,OK,Unknown,3183.01,LT 15 BLK 4,R IMP,21,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 09725-03-30-08040 at 2043 E XYLER ST N in Tulsa shows a low bid cost of 3183.01 and clear residential improvement (R IMP) use with strong property clarity and complete address, while the development match status is No Clear Match and the Final Verified Development Signal is Low; extraction and overall data confidence are High with Medium geocode confidence, supporting a Strong Manual Review Candidate classification but not a confirmed good investment.","ZIP is unknown; no verified development upside (No Clear Match, low development confidence); surrounding value and crime risk are unknown; geocode confidence only Medium.",Exact ZIP code; detailed surrounding property values; crime risk data; physical condition of the improvement; confirmation of precise neighborhood context and marketability.,"Manually confirm the exact parcel location and ZIP, then pull local sales/comparable values and any code/condition records for 2043 E XYLER ST N to assess realistic resale or rental potential relative to the 3183.01 bid cost.",High,Unknown,Unknown,Not provided in input file
21,44200-02-14-06630,Unknown,18 E 44 PL N,Tulsa,OK,Unknown,3183.01,LOT-2-BLK-29,R IMP,124,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 44200-02-14-06630 at 18 E 44 PL N, Tulsa, has high data confidence, complete address, and strong property clarity, with a relatively low bid cost of 3183.01. Rule-based scoring classifies it as a Strong Manual Review Candidate. However, there is no clear matched development area and the verified development signal is low, so any upside from nearby projects cannot be relied upon.","ZIP is unknown, limiting neighborhood and value context; no verified development match or surrounding value signal; crime risk and area value indicators are unknown.",ZIP code; surrounding value indicators; crime risk estimate; any confirmed nearby development projects; detailed property condition and improvements.,"Manually confirm the exact neighborhood/ZIP and surrounding property values, then check local records or mapping tools for condition, zoning, and any nearby development before deciding on a bid strategy.",High,Unknown,Unknown,Not provided in input file
22,44225-02-12-09330,Unknown,711 E 51 PL N,Tulsa,OK,Unknown,3199.68,LT 12 BLK 34,R IMP,124,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 711 E 51 PL N, Tulsa (Parcel ID 44225-02-12-09330) is a residential improvement property with a relatively low bid cost of 3199.68. Rule-based scoring flags it as a Strong Manual Review Candidate with a conservative score of 6.9, supported by complete address quality, strong property clarity, and high overall data confidence. However, the development verification shows No Clear Match and low confidence, so no development premium should be assumed.",ZIP is unknown; development upside is not verified; surrounding value and crime risk are unknown.,Exact ZIP code; details on surrounding property values; crime risk context; physical condition and occupancy status of the improvement; any liens or title complications beyond the tax auction.,"Manually confirm the precise location and ZIP, pull local sales/assessed values for comparable residential parcels near 711 E 51 PL N, and verify title, liens, and physical condition to determine whether the low bid cost translates into acceptable risk-adjusted value.",High,Unknown,Unknown,Not provided in input file
23,54325-92-31-02630,Unknown,7118 W 60 ST S,Unknown,OK,Unknown,3211.01,LT 7 W1/2 & ALL LT 8 9 BK 54 TULSA COUNTY,R IMP,145,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 54325-92-31-02630 at 7118 W 60 ST S has a bid cost of 3211.01 and is tagged as R IMP with strong property clarity and complete address data, while overall data/extraction confidence is High. However, the development match status is 'No Clear Match' with low confidence, so no development upside is assumed. These factors together produce a rule-based score of 6.9 and justify a Strong Manual Review Candidate classification rather than a definitive investment rating.","ZIP is unknown; no verified development match or surrounding value signal; crime risk is unknown; development confidence is low, so potential upside from nearby projects cannot be relied upon.",Exact ZIP code; surrounding property value context; crime risk details; any confirmed nearby development projects; physical condition of the residential improvements; title and lien status beyond the tax auction.,"Confirm the precise ZIP and neighborhood context for 7118 W 60 ST S, then pull local sales/assessed values and any known nearby projects to validate value and risk before bidding above the minimum.",High,Unknown,Unknown,Not provided in input file
24,07725-02-13-02930,Unknown,918 E 37 ST N,Tulsa,OK,Unknown,3234.47,LT 4 BLK 11,R HS IMP,17,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 07725-02-13-02930 at 918 E 37 ST N, Tulsa, OK has a low bid cost of 3234.47 and clear residential-improvement classification (R HS IMP). Address quality and property clarity are strong, geocoding confidence is medium, and overall data confidence is high. However, there is no clear matched development area and the verified development signal is low, so upside from nearby projects cannot be relied on. These factors yield a rule-based score of 6.9, making it a strong candidate for deeper manual review rather than an automatic investment decision.",ZIP is unknown; no verified development match or surrounding value signal; crime risk and neighborhood context are unknown; development upside cannot be confirmed.,Exact ZIP code; neighborhood and surrounding value context; crime risk; property condition and occupancy; any liens or title complications beyond the tax issue; zoning details beyond the R HS IMP label.,"Manually confirm the precise location and ZIP, pull local comps and neighborhood data around 918 E 37 ST N, and verify zoning, property condition, and title status to determine whether the low bid cost justifies proceeding.",High,Unknown,Unknown,Not provided in input file
25,79200-84-14-04250,Unknown,215 W JACKSON ST S,Broken Arrow,OK,Unknown,3244.88,LT 5 BLK 12,R HS IMP,175,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 79200-84-14-04250 at 215 W JACKSON ST S shows a low bid cost of 3244.88 and clear residential-improvement type with strong property clarity and complete address, but the development match status is No Clear Match and development confidence is low. Overall data and extraction confidence are high, supporting a Strong Manual Review Candidate classification rather than a confirmed investment.","ZIP is unknown; no verified development tie-in (No Clear Match, low development confidence); surrounding value and crime risk are unknown.",Exact ZIP code; surrounding property value context; crime/safety indicators; physical condition of improvements; any liens or title complications beyond the tax issue.,"Manually confirm the precise ZIP and neighborhood context for 215 W JACKSON ST S, then pull local sales/value comps and any available condition or title reports to validate whether the low bid cost aligns with market value and risk.",High,Unknown,Unknown,Not provided in input file
26,07675-02-13-01140,Unknown,4018 N GARRISON AV E,Tulsa,OK,Unknown,3245.67,LT 1 BLK 5,R HS IMP,16,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 07675-02-13-01140 at 4018 N GARRISON AV E, Tulsa, has a bid cost of 3245.67, complete address quality, strong property clarity, and high overall data confidence, which together yield a conservative rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, the development match is No Clear Match with low confidence, so no verified development upside is included in the investment view.","ZIP is unknown; no verified development linkage (No Clear Match, low development confidence); surrounding value and crime risk are unknown; actual property condition and occupancy are not provided.",Exact ZIP code; surrounding property value context; crime risk details; interior and exterior condition; occupancy status; any liens or title complications beyond the tax auction; rental or resale market indicators.,"Manually confirm the precise location and ZIP, then pull local sales/assessment data and any available photos or on-the-ground observations to evaluate condition, neighborhood quality, and realistic exit value relative to the 3245.67 bid cost.",High,Unknown,Unknown,Not provided in input file
27,49650-03-34-13420,Unknown,4932 E HASKELL ST N,Tulsa,OK,Unknown,3249.0,LT 4 BLK 3,R IMP,137,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 49650-03-34-13420 at 4932 E HASKELL ST N has a bid cost of 3249.00 and is classified as a Strong Manual Review Candidate due to strong property clarity, complete address, and high extraction/data confidence, but the development match status is 'No Clear Match' with low confidence, so development is not treated as a positive signal.",ZIP is unknown; no clear or verified development match; surrounding value and crime risk are unknown.,"ZIP code, surrounding value context, and crime risk estimates are not available.","Manually confirm exact neighborhood and ZIP, check surrounding property values and market conditions, and verify any nearby development or infrastructure projects that could affect value.",High,Unknown,Unknown,Not provided in input file
