parcel_id,property_address,geocode_status,latitude,longitude,nearby_schools,nearby_major_employers,nearby_hospitals,nearby_universities,nearby_retail_or_grocery,nearby_parks,nearby_highways_or_major_roads,nearby_public_transit,nearby_development_or_commercial_activity,negative_location_flags,location_strength_rating,location_summary,location_confidence
25500-03-29-06000,1831 N BIRMINGHAM PL E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=1831+N+BIRMINGHAM+PL+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
41025-02-01-04490,543 E 59 PL N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=543+E+59+PL+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
53775-02-02-00220,6105 N MAIN ST E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=6105+N+MAIN+ST+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
23125-02-25-15350,1864 N OWASSO AV E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=1864+N+OWASSO+AV+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
07600-02-24-01200,820 E 36 ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=820+E+36+ST+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
44200-02-11-01790,137 W 50 PL N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=137+W+50+PL+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
44200-02-11-01470,113 E 49 ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=113+E+49+ST+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
09725-03-30-08040,2043 E XYLER ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=2043+E+XYLER+ST+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
44200-02-14-06630,18 E 44 PL N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=18+E+44+PL+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
44225-02-12-09330,711 E 51 PL N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=711+E+51+PL+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
54325-92-31-02630,7118 W 60 ST S,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=7118+W+60+ST+S%2C+OK&format=jsonv2&limit=1,Low
07725-02-13-02930,918 E 37 ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=918+E+37+ST+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
79200-84-14-04250,215 W JACKSON ST S,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=215+W+JACKSON+ST+S%2C+Broken+Arrow%2C+OK&format=jsonv2&limit=1,Low
07675-02-13-01140,4018 N GARRISON AV E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=4018+N+GARRISON+AV+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
49650-03-34-13420,4932 E HASKELL ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=4932+E+HASKELL+ST+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
41025-02-01-06510,5744 N FRANKFORT AV E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=5744+N+FRANKFORT+AV+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
15500-03-32-04800,1313 N DELAWARE AV E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=1313+N+DELAWARE+AV+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
05825-03-30-01260,2039 N QUAKER AV E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=2039+N+QUAKER+AV+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
37650-02-12-04530,868 E 52 PL N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=868+E+52+PL+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
49700-03-34-14030,5107 E HASKELL PL N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=5107+E+HASKELL+PL+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
32325-92-24-04910,1114 E 33 PL S,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=1114+E+33+PL+S%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
17675-02-24-07570,750 E 32 PL N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=750+E+32+PL+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
25500-03-29-06060,2625 E TECUMSEH ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=2625+E+TECUMSEH+ST+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
44200-02-11-03380,4627 N BOSTON AV E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=4627+N+BOSTON+AV+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
17675-02-24-08030,3130 N HARTFORD PL E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=3130+N+HARTFORD+PL+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
25375-03-29-05240,3215 E XYLER ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=3215+E+XYLER+ST+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
90306-03-06-24020,1641 E 56 ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=1641+E+56+ST+N%2C+OK&format=jsonv2&limit=1,Low
44250-02-12-15190,549 E 54 PL N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=549+E+54+PL+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
53825-02-02-01310,7 E 63 ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=7+E+63+ST+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
29650-03-07-03460,1338 E 54 ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=1338+E+54+ST+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
46465-92-11-31880,2034 S PHOENIX AV W,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=2034+S+PHOENIX+AV+W%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
12175-92-03-02290,3034 W CAMERON ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=3034+W+CAMERON+ST+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
07675-02-13-01590,4013 N ELGIN AV E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=4013+N+ELGIN+AV+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
04550-03-32-02430,813 N FLORENCE AV E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=813+N+FLORENCE+AV+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
26250-92-05-02570,4914 W 1 ST S,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=4914+W+1+ST+S%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
29625-02-36-21010,419 E NEWTON PL N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=419+E+NEWTON+PL+N%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
10450-03-19-50550,3128 N TROOST PL E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=3128+N+TROOST+PL+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
28025-93-11-08980,1942 S 74 AV E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=1942+S+74+AV+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
