parcel_id,assessor_match_status,assessor_property_address,assessor_owner_name,assessor_property_type,assessor_land_value,assessor_improvement_value,assessor_total_assessed_value,assessor_market_value,assessor_taxable_value,assessor_year_built,assessor_square_feet,assessor_lot_size,assessor_bedrooms,assessor_bathrooms,assessor_last_sale_date,assessor_last_sale_price,assessor_neighborhood,assessor_school_district,assessor_source_url,manual_lookup_url,assessor_notes,assessor_confidence
44200-02-11-01790,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=44200021101790&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
44200-02-11-01470,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=44200021101470&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
09725-03-30-08040,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=09725033008040&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
44200-02-14-06630,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=44200021406630&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
44225-02-12-09330,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=44225021209330&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
54325-92-31-02630,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=54325923102630&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
07725-02-13-02930,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=07725021302930&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
79200-84-14-04250,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=79200841404250&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
07675-02-13-01140,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=07675021301140&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
49650-03-34-13420,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=49650033413420&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
41025-02-01-06510,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=41025020106510&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
15500-03-32-04800,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=15500033204800&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
05825-03-30-01260,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=05825033001260&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
37650-02-12-04530,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=37650021204530&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
49700-03-34-14030,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=49700033414030&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
32325-92-24-04910,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=32325922404910&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
17675-02-24-07570,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=17675022407570&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
25500-03-29-06060,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=25500032906060&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
44200-02-11-03380,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=44200021103380&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
17675-02-24-08030,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=17675022408030&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
25375-03-29-05240,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=25375032905240&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
90306-03-06-24020,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=90306030624020&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
44250-02-12-15190,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=44250021215190&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
53825-02-02-01310,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=53825020201310&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
29650-03-07-03460,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=29650030703460&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
46465-92-11-31880,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=46465921131880&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
12175-92-03-02290,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=12175920302290&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
07675-02-13-01590,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=07675021301590&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
04550-03-32-02430,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=04550033202430&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
26250-92-05-02570,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=26250920502570&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
29625-02-36-21010,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=29625023621010&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
10450-03-19-50550,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=10450031950550&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
28025-93-11-08980,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=28025931108980&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
