parcel_id,property_address,neighborhoodscout_match_status,neighborhood_or_area_used,zip_code_used,crime_risk_summary,crime_risk_rating,real_estate_price_trend,real_estate_trend_direction,median_home_value_if_available,rent_level_if_available,income_or_economic_summary,demographic_summary,neighborhoodscout_source_url,neighborhoodscout_confidence,neighborhoodscout_notes
23175-03-30-13610,2526 N QUAKER AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
90327-03-27-26880,2011 N YALE AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
25500-03-29-06000,1831 N BIRMINGHAM PL E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
41025-02-01-04490,543 E 59 PL N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
53775-02-02-00220,6105 N MAIN ST E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
23125-02-25-15350,1864 N OWASSO AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
07600-02-24-01200,820 E 36 ST N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
44200-02-11-01790,137 W 50 PL N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
44200-02-11-01470,113 E 49 ST N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
09725-03-30-08040,2043 E XYLER ST N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
44200-02-14-06630,18 E 44 PL N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
44225-02-12-09330,711 E 51 PL N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
54325-92-31-02630,7118 W 60 ST S,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
07725-02-13-02930,918 E 37 ST N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
79200-84-14-04250,215 W JACKSON ST S,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
07675-02-13-01140,4018 N GARRISON AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
49650-03-34-13420,4932 E HASKELL ST N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
41025-02-01-06510,5744 N FRANKFORT AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
15500-03-32-04800,1313 N DELAWARE AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
05825-03-30-01260,2039 N QUAKER AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
37650-02-12-04530,868 E 52 PL N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
49700-03-34-14030,5107 E HASKELL PL N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
32325-92-24-04910,1114 E 33 PL S,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
17675-02-24-07570,750 E 32 PL N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
25500-03-29-06060,2625 E TECUMSEH ST N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
44200-02-11-03380,4627 N BOSTON AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
