input row count: 62
crime coverage count: 56
crime counts within 0.5 miles were not available from the chosen public source and remain Unknown.
{"parcel_id": "80610-84-11-13900", "city_used_for_crime_proxy": "Broken Arrow", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 4.2, "crime_risk_level": "Medium", "crime_confidence": "Low", "crime_notes": "City-level proxy for Broken Arrow, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 84. Property-crime victimization odds were about 1 in 84. The city page said Broken Arrow is safer than 27% of U.S. cities."}
{"parcel_id": "99026-90-26-34620", "city_used_for_crime_proxy": "Unknown", "crime_source": "Unknown.", "crime_data_date_range": "Unknown.", "crime_risk_score": "Unknown.", "crime_risk_level": "Unknown", "crime_confidence": "Unknown", "crime_notes": "No usable official or area-level crime source was attached for this row. Treat crime risk as unknown and do not assume the area is safe."}
{"parcel_id": "43300-03-29-14980", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "25500-03-29-05850", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "31125-92-27-16860", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "47650-03-19-08360", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "47650-03-19-08370", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "47650-03-19-08580", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "47650-03-19-08590", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "21350-03-30-12520", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "15275-03-19-03980", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "25575-03-19-05190", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "43300-03-29-09940", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "40875-02-13-11530", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "57845-73-14-53590", "city_used_for_crime_proxy": "Bixby", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 6.1, "crime_risk_level": "Medium", "crime_confidence": "Low", "crime_notes": "City-level proxy for Bixby, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 635. The city page said Bixby is safer than 46% of U.S. cities."}
{"parcel_id": "99026-90-26-37752", "city_used_for_crime_proxy": "Unknown", "crime_source": "Unknown.", "crime_data_date_range": "Unknown.", "crime_risk_score": "Unknown.", "crime_risk_level": "Unknown", "crime_confidence": "Unknown", "crime_notes": "No usable official or area-level crime source was attached for this row. Treat crime risk as unknown and do not assume the area is safe."}
{"parcel_id": "00900-02-35-00210", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "24925-02-36-17420", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "26725-02-25-16640", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "47100-03-31-17080", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "06625-92-27-04570", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "22175-92-08-02140", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "29650-03-07-06380", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "18650-93-06-13240", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "99029-90-29-20530", "city_used_for_crime_proxy": "Unknown", "crime_source": "Unknown.", "crime_data_date_range": "Unknown.", "crime_risk_score": "Unknown.", "crime_risk_level": "Unknown", "crime_confidence": "Unknown", "crime_notes": "No usable official or area-level crime source was attached for this row. Treat crime risk as unknown and do not assume the area is safe."}
{"parcel_id": "21825-03-17-04060", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "41025-02-01-04710", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "41025-02-01-05430", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "54500-92-28-08600", "city_used_for_crime_proxy": "Unknown", "crime_source": "Unknown.", "crime_data_date_range": "Unknown.", "crime_risk_score": "Unknown.", "crime_risk_level": "Unknown", "crime_confidence": "Unknown", "crime_notes": "No usable official or area-level crime source was attached for this row. Treat crime risk as unknown and do not assume the area is safe."}
{"parcel_id": "43300-03-29-12660", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "52625-92-28-06480", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "05850-03-30-04070", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "63725-12-13-01480", "city_used_for_crime_proxy": "Unknown", "crime_source": "Unknown.", "crime_data_date_range": "Unknown.", "crime_risk_score": "Unknown.", "crime_risk_level": "Unknown", "crime_confidence": "Unknown", "crime_notes": "No usable official or area-level crime source was attached for this row. Treat crime risk as unknown and do not assume the area is safe."}
{"parcel_id": "03350-03-31-03600", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "90212-02-12-26700", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "24275-93-06-15060", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "52500-03-06-00190", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
