ranked row count: 62
{"parcel_id": "80610-84-11-13900", "pre_ai_final_score": 8.01, "pre_ai_category": "Top Candidate", "area_ranking_reason": "Parcel 80610-84-11-13900 at bid cost 1083.22 scored 8.01 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=5.25 (Medium risk, Low confidence), economic strength=7.42 (Low risk, High confidence), and data confidence=7.62.", "area_key_risks": "Crime context is low-confidence and city-level only."}
{"parcel_id": "40925-92-26-01220", "pre_ai_final_score": 7.01, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 40925-92-26-01220 at bid cost 1458.03 scored 7.01 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=9.0, crime score=1.75 (High risk, Low confidence), economic strength=6.08 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "40875-02-13-11530", "pre_ai_final_score": 6.98, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 40875-02-13-11530 at bid cost 1184.93 scored 6.98 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=9.0, crime score=1.75 (High risk, Low confidence), economic strength=5.5 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "37225-93-16-14530", "pre_ai_final_score": 6.92, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 37225-93-16-14530 at bid cost 1437.18 scored 6.92 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=6.5, crime score=1.75 (High risk, Low confidence), economic strength=7.5 (Low risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "25800-03-32-09470", "pre_ai_final_score": 6.9, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 25800-03-32-09470 at bid cost 1026.56 scored 6.9 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=5.25 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "26725-02-25-16640", "pre_ai_final_score": 6.9, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 26725-02-25-16640 at bid cost 1216.55 scored 6.9 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=9.0, crime score=1.75 (High risk, Low confidence), economic strength=5.17 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "29650-03-07-03650", "pre_ai_final_score": 6.89, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 29650-03-07-03650 at bid cost 1001.89 scored 6.89 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=5.17 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "29650-03-07-06380", "pre_ai_final_score": 6.89, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 29650-03-07-06380 at bid cost 1257.12 scored 6.89 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=9.0, crime score=1.75 (High risk, Low confidence), economic strength=5.17 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "55625-92-06-02420", "pre_ai_final_score": 6.88, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 55625-92-06-02420 at bid cost 1072.22 scored 6.88 before AI because property clarity=10.0, geocoding=6.5, residential likelihood=6.5, crime score=1.75 (High risk, Low confidence), economic strength=8.75 (Low risk, High confidence), and data confidence=7.0.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "52500-03-06-00190", "pre_ai_final_score": 6.88, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 52500-03-06-00190 at bid cost 1326.96 scored 6.88 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=9.0, crime score=1.75 (High risk, Low confidence), economic strength=5.25 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "40800-02-13-06680", "pre_ai_final_score": 6.83, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 40800-02-13-06680 at bid cost 1416.75 scored 6.83 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=5.5 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "40875-02-13-11410", "pre_ai_final_score": 6.82, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 40875-02-13-11410 at bid cost 1445.45 scored 6.82 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=5.5 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "90212-02-12-26700", "pre_ai_final_score": 6.82, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 90212-02-12-26700 at bid cost 1317.38 scored 6.82 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=9.0, crime score=1.75 (High risk, Low confidence), economic strength=4.92 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "18725-92-27-12650", "pre_ai_final_score": 6.77, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 18725-92-27-12650 at bid cost 1071.89 scored 6.77 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=6.5, crime score=1.75 (High risk, Low confidence), economic strength=6.17 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "22175-92-08-02140", "pre_ai_final_score": 6.77, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 22175-92-08-02140 at bid cost 1229.87 scored 6.77 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=4.92 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "05400-02-25-04330", "pre_ai_final_score": 6.76, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 05400-02-25-04330 at bid cost 1418.58 scored 6.76 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=5.17 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "34425-02-25-22000", "pre_ai_final_score": 6.76, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 34425-02-25-22000 at bid cost 1429.85 scored 6.76 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=5.17 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "54375-02-01-07920", "pre_ai_final_score": 6.75, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 54375-02-01-07920 at bid cost 1077.89 scored 6.75 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=4.58 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "38950-03-27-10040", "pre_ai_final_score": 6.72, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 38950-03-27-10040 at bid cost 1065.22 scored 6.72 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=6.5, crime score=1.75 (High risk, Low confidence), economic strength=5.92 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "44250-02-12-15060", "pre_ai_final_score": 6.71, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 44250-02-12-15060 at bid cost 1443.18 scored 6.71 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=4.92 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "18650-93-06-13240", "pre_ai_final_score": 6.69, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 18650-93-06-13240 at bid cost 1261.20 scored 6.69 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=4.58 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "41025-02-01-04710", "pre_ai_final_score": 6.69, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 41025-02-01-04710 at bid cost 1273.20 scored 6.69 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=4.58 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "41025-02-01-05430", "pre_ai_final_score": 6.69, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 41025-02-01-05430 at bid cost 1273.20 scored 6.69 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=4.58 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "43300-03-29-14980", "pre_ai_final_score": 6.64, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 43300-03-29-14980 at bid cost 1094.55 scored 6.64 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=4.08 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "25500-03-29-05850", "pre_ai_final_score": 6.64, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 25500-03-29-05850 at bid cost 1095.22 scored 6.64 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=4.08 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "00575-93-06-00770", "pre_ai_final_score": 6.63, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 00575-93-06-00770 at bid cost 1468.51 scored 6.63 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=4.58 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "43300-03-29-09940", "pre_ai_final_score": 6.62, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 43300-03-29-09940 at bid cost 1179.88 scored 6.62 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=4.08 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "05850-03-30-04070", "pre_ai_final_score": 6.53, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 05850-03-30-04070 at bid cost 1297.53 scored 6.53 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=9.0, crime score=1.75 (High risk, Low confidence), economic strength=3.42 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "21875-03-17-04770", "pre_ai_final_score": 6.47, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 21875-03-17-04770 at bid cost 1482.90 scored 6.47 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=9.0, crime score=1.75 (High risk, Low confidence), economic strength=3.42 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "21825-03-17-04060", "pre_ai_final_score": 6.46, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 21825-03-17-04060 at bid cost 1273.20 scored 6.46 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=3.42 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "23175-03-30-13510", "pre_ai_final_score": 6.43, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 23175-03-30-13510 at bid cost 1358.53 scored 6.43 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=3.42 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "03350-03-31-03600", "pre_ai_final_score": 6.38, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 03350-03-31-03600 at bid cost 1313.58 scored 6.38 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=6.5, crime score=1.75 (High risk, Low confidence), economic strength=4.58 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "44675-92-08-05920", "pre_ai_final_score": 6.36, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 44675-92-08-05920 at bid cost 1019.23 scored 6.36 before AI because property clarity=10.0, geocoding=6.5, residential likelihood=6.5, crime score=1.75 (High risk, Low confidence), economic strength=6.08 (Medium risk, High confidence), and data confidence=7.0.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "43300-03-29-12660", "pre_ai_final_score": 6.28, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 43300-03-29-12660 at bid cost 1289.87 scored 6.28 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=6.5, crime score=1.75 (High risk, Low confidence), economic strength=4.08 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "24275-93-06-15060", "pre_ai_final_score": 6.24, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 24275-93-06-15060 at bid cost 1319.86 scored 6.24 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=3.0, crime score=1.75 (High risk, Low confidence), economic strength=6.5 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Property type appears commercial or unclear for a residential auction screen."}
{"parcel_id": "44650-92-04-12680", "pre_ai_final_score": 5.61, "pre_ai_category": "Risky / Needs Verification", "area_ranking_reason": "Parcel 44650-92-04-12680 at bid cost 1378.52 scored 5.61 before AI because property clarity=10.0, geocoding=6.5, residential likelihood=3.0, crime score=1.75 (High risk, Low confidence), economic strength=5.5 (Medium risk, High confidence), and data confidence=7.0.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Property type appears commercial or unclear for a residential auction screen."}
{"parcel_id": "99026-90-26-37752", "pre_ai_final_score": 5.46, "pre_ai_category": "Risky / Needs Verification", "area_ranking_reason": "Parcel 99026-90-26-37752 at bid cost 1195.21 scored 5.46 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=8.5, crime score=3.0 (Unknown risk, Unknown confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.38.", "area_key_risks": "Geocoding confidence is weak. Economic coverage is weak or incomplete."}
{"parcel_id": "31125-92-27-16860", "pre_ai_final_score": 5.25, "pre_ai_category": "Risky / Needs Verification", "area_ranking_reason": "Parcel 31125-92-27-16860 at bid cost 1097.08 scored 5.25 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.62.", "area_key_risks": "Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete."}
{"parcel_id": "99026-90-26-34620", "pre_ai_final_score": 5.19, "pre_ai_category": "Risky / Needs Verification", "area_ranking_reason": "Parcel 99026-90-26-34620 at bid cost 1084.30 scored 5.19 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=6.5, crime score=3.0 (Unknown risk, Unknown confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.38.", "area_key_risks": "Geocoding confidence is weak. Economic coverage is weak or incomplete."}
{"parcel_id": "16250-92-05-00670", "pre_ai_final_score": 5.16, "pre_ai_category": "Risky / Needs Verification", "area_ranking_reason": "Parcel 16250-92-05-00670 at bid cost 1417.19 scored 5.16 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.62.", "area_key_risks": "Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete."}
{"parcel_id": "99029-90-29-20530", "pre_ai_final_score": 5.14, "pre_ai_category": "Risky / Needs Verification", "area_ranking_reason": "Parcel 99029-90-29-20530 at bid cost 1268.53 scored 5.14 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=6.5, crime score=3.0 (Unknown risk, Unknown confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.38.", "area_key_risks": "Geocoding confidence is weak. Economic coverage is weak or incomplete."}
{"parcel_id": "54500-92-28-08600", "pre_ai_final_score": 5.14, "pre_ai_category": "Risky / Needs Verification", "area_ranking_reason": "Parcel 54500-92-28-08600 at bid cost 1280.60 scored 5.14 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=6.5, crime score=3.0 (Unknown risk, Unknown confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.38.", "area_key_risks": "Geocoding confidence is weak. Economic coverage is weak or incomplete."}
{"parcel_id": "20625-92-04-05790", "pre_ai_final_score": 5.14, "pre_ai_category": "Risky / Needs Verification", "area_ranking_reason": "Parcel 20625-92-04-05790 at bid cost 1483.85 scored 5.14 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.62.", "area_key_risks": "Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete."}
{"parcel_id": "96203-62-03-50220", "pre_ai_final_score": 4.97, "pre_ai_category": "Risky / Needs Verification", "area_ranking_reason": "Parcel 96203-62-03-50220 at bid cost 1064.76 scored 4.97 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=5.0, crime score=3.0 (Unknown risk, Unknown confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.38.", "area_key_risks": "Geocoding confidence is weak. Economic coverage is weak or incomplete."}
{"parcel_id": "06625-92-27-04570", "pre_ai_final_score": 4.91, "pre_ai_category": "Risky / Needs Verification", "area_ranking_reason": "Parcel 06625-92-27-04570 at bid cost 1228.54 scored 4.91 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=6.5, crime score=1.75 (High risk, Low confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.62.", "area_key_risks": "Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete."}
{"parcel_id": "21350-03-30-12520", "pre_ai_final_score": 5.91, "pre_ai_category": "Avoid", "area_ranking_reason": "Parcel 21350-03-30-12520 at bid cost 1129.22 scored 5.91 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=3.0, crime score=1.75 (High risk, Low confidence), economic strength=4.58 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only. Property type appears commercial or unclear for a residential auction screen."}
{"parcel_id": "90318-03-18-02670", "pre_ai_final_score": 5.87, "pre_ai_category": "Avoid", "area_ranking_reason": "Parcel 90318-03-18-02670 at bid cost 1485.18 scored 5.87 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=5.0, crime score=1.75 (High risk, Low confidence), economic strength=3.42 (High risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Economic context is weak. Crime context is low-confidence and city-level only."}
{"parcel_id": "57845-73-14-53590", "pre_ai_final_score": 5.1, "pre_ai_category": "Avoid", "area_ranking_reason": "Parcel 57845-73-14-53590 at bid cost 1194.46 scored 5.1 before AI because property clarity=10.0, geocoding=1.5, residential likelihood=3.0, crime score=5.25 (Medium risk, Low confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.62.", "area_key_risks": "Geocoding confidence is weak. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete. Property type appears commercial or unclear for a residential auction screen."}
{"parcel_id": "47650-03-19-08360", "pre_ai_final_score": 4.52, "pre_ai_category": "Avoid", "area_ranking_reason": "Parcel 47650-03-19-08360 at bid cost 1099.89 scored 4.52 before AI because property clarity=8.0, geocoding=1.5, residential likelihood=6.5, crime score=1.75 (High risk, Low confidence), economic strength=3.5 (Unknown risk, Unknown confidence), and data confidence=4.0.", "area_key_risks": "Address is missing or unclear. Geocoding confidence is weak. Area-level crime proxy is high risk. Crime context is low-confidence and city-level only. Economic coverage is weak or incomplete."}
